"ACADEMIC_TERMS_KEY","TERM_CODE","TERM_DESCRIPTION","TERM_SELECTOR","TERM_START_DATE","TERM_END_DATE","ACADEMIC_YEAR","ACADEMIC_YEAR_DESC","IS_CURRENT_TERM","TERM_STATUS_INDICATOR","FINANCIAL_AID_YEAR","DEGREE_YEAR","LAST_DAY_OF_FINAL_EXAM","PRE_REGISTRATION_START_DAY","REGISTRATION_DAY","FIRST_DAY_OF_CLASSES","LAST_DAY_OF_CLASSES","GRADUATE_AWARD_START_DATE","GRADUATE_AWARD_END_DATE","WAREHOUSE_LOAD_DATE"
"1998FA","1998FA","Fall Term 1997-1998","1998FA-Fall Term 1997-1998",02-SEP-97,19-DEC-97,"1998","Academic Year 1997-1998","N","P","1998","1998",19-DEC-97,01-MAY-97,02-SEP-97,03-SEP-97,10-DEC-97,01-SEP-97,15-JAN-98,28-OCT-24
"1999FA","1999FA","Fall Term 1998-1999","1999FA-Fall Term 1998-1999",08-SEP-98,18-DEC-98,"1999","Academic Year 1998-1999","N","P","1999","1999",18-DEC-98,09-SEP-98,08-SEP-98,09-SEP-98,10-DEC-98,01-SEP-98,15-JAN-99,28-OCT-24
"2000FA","2000FA","Fall Term 1999-2000","2000FA-Fall Term 1999-2000",07-SEP-99,17-DEC-99,"2000","Academic Year 1999-2000","N","P","2000","2000",17-DEC-99,01-MAY-99,07-SEP-99,08-SEP-99,09-DEC-99,01-SEP-99,15-JAN-00,28-OCT-24
"2001FA","2001FA","Fall Term 2000-2001","2001FA-Fall Term 2000-2001",05-SEP-00,22-DEC-00,"2001","Academic Year 2000-2001","N","P","2001","2001",22-DEC-00,01-MAY-00,05-SEP-00,06-SEP-00,13-DEC-00,01-SEP-00,15-JAN-01,28-OCT-24
"2002FA","2002FA","Fall Term 2001-2002","2002FA-Fall Term 2001-2002",04-SEP-01,06-JAN-02,"2002","Academic Year 2001-2002","N","P","2002","2002",21-DEC-01,01-MAY-02,04-SEP-01,05-SEP-01,12-DEC-01,01-SEP-01,15-JAN-02,28-OCT-24
"2003FA","2003FA","Fall Term 2002-2003","2003FA-Fall Term 2002-2003",03-SEP-02,05-JAN-03,"2003","Academic Year 2002-2003","N","P","2003","2003",20-DEC-02,01-MAY-02,03-SEP-02,04-SEP-02,11-DEC-02,01-SEP-02,15-JAN-03,28-OCT-24
"2004FA","2004FA","Fall Term 2003-2004","2004FA-Fall Term 2003-2004",02-SEP-03,19-DEC-03,"2004","Academic Year 2003-2004","N","P","2004","2004",19-DEC-03,01-MAY-03,02-SEP-03,03-SEP-03,10-DEC-03,01-SEP-03,15-JAN-04,28-OCT-24
"2005FA","2005FA","Fall Term 2004-2005","2005FA-Fall Term 2004-2005",07-SEP-04,17-DEC-04,"2005","Academic Year 2004-2005","N","P","2005","2005",17-DEC-04,03-MAY-04,07-SEP-04,08-SEP-04,09-DEC-04,01-SEP-04,15-JAN-05,28-OCT-24
"1997JA","1997JA","January Term 1996-1997","1997JA-January Term 1996-1997",06-JAN-97,31-JAN-97,"1997","Academic Year 1996-1997","N","P","","",31-JAN-97,23-DEC-96,06-JAN-97,,,,,28-OCT-24
"1998JA","1998JA","January Term 1997-1998","1998JA-January Term 1997-1998",05-JAN-98,30-JAN-98,"1998","Academic Year 1997-1998","N","P","","",30-JAN-98,,05-JAN-98,05-JAN-98,30-JAN-98,,,28-OCT-24
"1972SU","1972SU","Summer Term 1972","1972SU-Summer Term 1972",12-JUN-72,24-AUG-72,"1972","Academic Year 1971-1972","N","P","1973","1973",24-AUG-72,01-MAY-72,12-JUN-72,12-JUN-72,24-AUG-72,,,28-OCT-24
"1972SP","1972SP","Spring Term 1971-1972","1972SP-Spring Term 1971-1972",02-FEB-72,26-MAY-72,"1972","Academic Year 1971-1972","N","P","1972","1972",26-MAY-72,,02-FEB-72,03-FEB-72,26-MAY-72,,,28-OCT-24
"1971SP","1971SP","Spring Term 1970-1971","1971SP-Spring Term 1970-1971",03-FEB-71,28-MAY-71,"1971","Academic Year 1970-1971","N","P","1971","1971",28-MAY-71,,03-FEB-71,04-FEB-71,28-MAY-71,,,28-OCT-24
"1973SP","1973SP","Spring Term 1972-1973","1973SP-Spring Term 1972-1973",05-FEB-73,24-MAY-73,"1973","Academic Year 1972-1973","N","P","1973","1973",24-MAY-73,,05-FEB-73,06-FEB-73,24-MAY-73,,,28-OCT-24
"1971JA","1971JA","January Term 1970-1971","1971JA-January Term 1970-1971",06-JAN-71,29-JAN-71,"1971","Academic Year 1970-1971","N","P","","",29-JAN-71,,06-JAN-71,06-JAN-71,29-JAN-71,,,28-OCT-24
"1972JA","1972JA","January Term 1971-1972","1972JA-January Term 1971-1972",05-JAN-72,28-JAN-72,"1972","Academic Year 1971-1972","N","P","","",28-JAN-72,,05-JAN-72,05-JAN-72,28-JAN-72,,,28-OCT-24
"1973JA","1973JA","January Term 1972-1973","1973JA-January Term 1972-1973",08-JAN-73,31-JAN-73,"1973","Academic Year 1972-1973","N","P","","",31-JAN-73,,08-JAN-73,08-JAN-73,31-JAN-73,,,28-OCT-24
"1973SU","1973SU","Summer Term 1973","1973SU-Summer Term 1973",11-JUN-73,23-AUG-73,"1973","Academic Year 1972-1973","N","P","1974","1974",23-AUG-73,01-MAY-73,11-JUN-73,11-JUN-73,23-AUG-73,,,28-OCT-24
"1974SU","1974SU","Summer Term 1974","1974SU-Summer Term 1974",10-JUN-74,21-AUG-74,"1974","Academic Year 1973-1974","N","P","1975","1975",21-AUG-74,01-MAY-74,10-JUN-74,10-JUN-74,22-AUG-74,,,28-OCT-24
"1974SP","1974SP","Spring Term 1973-1974","1974SP-Spring Term 1973-1974",04-FEB-74,23-MAY-74,"1974","Academic Year 1973-1974","N","P","1974","1974",23-MAY-74,,04-FEB-74,05-FEB-74,23-MAY-74,,,28-OCT-24
"1974JA","1974JA","January Term 1973-1974","1974JA-January Term 1973-1974",07-JAN-74,30-JAN-74,"1974","Academic Year 1973-1974","N","P","","",30-JAN-74,,07-JAN-74,08-JAN-74,30-JAN-74,,,28-OCT-24
"1975SU","1975SU","Summer Term 1975","1975SU-Summer Term 1975",09-JUN-75,20-AUG-75,"1975","Academic Year 1974-1975","N","P","1976","1976",20-AUG-75,01-MAY-75,09-JUN-75,09-JUN-75,20-AUG-75,,,28-OCT-24
"1976SU","1976SU","Summer Term 1976","1976SU-Summer Term 1976",07-JUN-76,18-AUG-76,"1976","Academic Year 1975-1976","N","P","1977","1977",18-AUG-76,01-MAY-76,07-JUN-76,07-JUN-76,18-AUG-76,,,28-OCT-24
"1975SP","1975SP","Spring Term 1974-1975","1975SP-Spring Term 1974-1975",03-FEB-75,22-MAY-75,"1975","Academic Year 1974-1975","N","P","1975","1975",22-MAY-75,,03-FEB-75,04-FEB-75,22-MAY-75,,,28-OCT-24
"1976SP","1976SP","Spring Term 1975-1976","1976SP-Spring Term 1975-1976",02-FEB-76,20-MAY-76,"1976","Academic Year 1975-1976","N","P","1976","1976",20-MAY-76,,02-FEB-76,03-FEB-76,20-MAY-76,,,28-OCT-24
"1975JA","1975JA","January Term 1974-1975","1975JA-January Term 1974-1975",06-JAN-75,29-JAN-75,"1975","Academic Year 1974-1975","N","P","","",29-JAN-75,,06-JAN-75,06-JAN-75,29-JAN-75,,,28-OCT-24
"1976JA","1976JA","January Term 1975-1976","1976JA-January Term 1975-1976",05-JAN-76,28-JAN-76,"1976","Academic Year 1975-1976","N","P","","",28-JAN-76,,05-JAN-76,05-JAN-76,28-JAN-76,,,28-OCT-24
"1977SP","1977SP","Spring Term 1976-1977","1977SP-Spring Term 1976-1977",02-FEB-77,25-MAY-77,"1977","Academic Year 1976-1977","N","P","1977","1977",25-MAY-77,,02-FEB-77,03-FEB-77,25-MAY-77,,,28-OCT-24
"1977JA","1977JA","January Term 1976-1977","1977JA-January Term 1976-1977",05-JAN-77,28-JAN-77,"1977","Academic Year 1976-1977","N","P","","",28-JAN-77,,05-JAN-77,05-JAN-77,28-JAN-77,,,28-OCT-24
"1978SP","1978SP","Spring Term 1977-1978","1978SP-Spring Term 1977-1978",06-FEB-78,25-MAY-78,"1978","Academic Year 1977-1978","N","P","1978","1978",25-MAY-78,,06-FEB-78,07-FEB-78,25-MAY-78,16-JAN-78,31-MAY-78,28-OCT-24
"1982JA","1982JA","January Term 1981-1982","1982JA-January Term 1981-1982",04-JAN-82,27-JAN-82,"1982","Academic Year 1981-1982","N","P","","",27-JAN-82,,04-JAN-82,04-JAN-82,27-JAN-82,,,28-OCT-24
"1979SP","1979SP","Spring Term 1978-1979","1979SP-Spring Term 1978-1979",05-FEB-79,24-MAY-79,"1979","Academic Year 1978-1979","N","P","1979","1979",24-MAY-79,,05-FEB-79,06-FEB-79,24-MAY-79,16-JAN-79,31-MAY-79,28-OCT-24
"1979JA","1979JA","January Term 1978-1979","1979JA-January Term 1978-1979",08-JAN-79,31-JAN-79,"1979","Academic Year 1978-1979","N","P","","",31-JAN-79,,08-JAN-79,08-JAN-79,31-JAN-79,,,28-OCT-24
"1978JA","1978JA","January Term 1977-1978","1978JA-January Term 1977-1978",09-JAN-78,01-FEB-78,"1978","Academic Year 1977-1978","N","P","","",01-FEB-78,,09-JAN-78,09-JAN-78,01-FEB-78,,,28-OCT-24
"1977SU","1977SU","Summer Term 1977","1977SU-Summer Term 1977",13-JUN-77,24-AUG-77,"1977","Academic Year 1976-1977","N","P","1978","1978",24-AUG-77,01-MAY-77,13-JUN-77,13-JUN-77,24-AUG-77,,,28-OCT-24
"1983JA","1983JA","January Term 1982-1983","1983JA-January Term 1982-1983",03-JAN-83,26-JAN-83,"1983","Academic Year 1982-1983","N","P","","",26-JAN-83,,03-JAN-83,03-JAN-83,26-JAN-83,,,28-OCT-24
"1982SU","1982SU","Summer Term 1982","1982SU-Summer Term 1982",07-JUN-82,18-AUG-82,"1982","Academic Year 1981-1982","N","P","1983","1983",18-AUG-82,01-MAY-82,07-JUN-82,07-JUN-82,18-AUG-82,01-JUN-82,31-AUG-82,28-OCT-24
"1983SU","1983SU","Summer Term 1983","1983SU-Summer Term 1983",06-JUN-83,17-AUG-83,"1983","Academic Year 1982-1983","N","P","1984","1984",17-AUG-83,01-MAY-83,06-JUN-83,06-JUN-83,17-AUG-83,01-JUN-83,31-AUG-83,28-OCT-24
"1984SU","1984SU","Summer Term 1984","1984SU-Summer Term 1984",11-JUN-84,22-AUG-84,"1984","Academic Year 1983-1984","N","P","1985","1985",22-AUG-84,01-MAY-84,11-JUN-84,11-JUN-84,22-AUG-84,01-JUN-84,31-AUG-84,28-OCT-24
"1984SP","1984SP","Spring Term 1983-1984","1984SP-Spring Term 1983-1984",06-FEB-84,23-MAY-84,"1984","Academic Year 1983-1984","N","P","1984","1984",23-MAY-84,,06-FEB-84,07-FEB-84,23-MAY-84,16-JAN-84,31-MAY-84,28-OCT-24
"1978SU","1978SU","Summer Term 1978","1978SU-Summer Term 1978",12-JUN-78,23-AUG-78,"1978","Academic Year 1977-1978","N","P","1979","1979",23-AUG-78,01-MAY-78,12-JUN-78,12-JUN-78,23-AUG-78,01-JUN-78,31-AUG-78,28-OCT-24
"1980SP","1980SP","Spring Term 1979-1980","1980SP-Spring Term 1979-1980",04-FEB-80,22-MAY-80,"1980","Academic Year 1979-1980","N","P","1980","1980",22-MAY-80,,04-FEB-80,05-FEB-80,22-MAY-80,16-JAN-80,31-MAY-80,28-OCT-24
"1980JA","1980JA","January Term 1979-1980","1980JA-January Term 1979-1980",07-JAN-80,30-JAN-80,"1980","Academic Year 1979-1980","N","P","","",30-JAN-80,,07-JAN-80,07-JAN-80,30-JAN-80,,,28-OCT-24
"1979SU","1979SU","Summer Term 1979","1979SU-Summer Term 1979",11-JUN-79,22-AUG-79,"1979","Academic Year 1978-1979","N","P","1980","1980",22-AUG-79,01-MAY-79,11-JUN-79,11-JUN-79,22-AUG-79,01-JUN-79,31-AUG-79,28-OCT-24
"1980SU","1980SU","Summer Term 1980","1980SU-Summer Term 1980",09-JUN-80,20-AUG-80,"1980","Academic Year 1979-1980","N","P","1981","1981",20-AUG-80,01-MAY-80,09-JUN-80,09-JUN-80,20-AUG-80,01-JUN-80,31-AUG-80,28-OCT-24
"1981SP","1981SP","Spring Term 1980-1981","1981SP-Spring Term 1980-1981",02-FEB-81,21-MAY-81,"1981","Academic Year 1980-1981","N","P","1981","1981",21-MAY-81,,02-FEB-81,03-FEB-81,21-MAY-81,16-JAN-81,31-MAY-81,28-OCT-24
"1981JA","1981JA","January Term 1980-1981","1981JA-January Term 1980-1981",05-JAN-81,28-JAN-81,"1981","Academic Year 1980-1981","N","P","","",28-JAN-81,,05-JAN-81,05-JAN-81,28-JAN-81,,,28-OCT-24
"1981SU","1981SU","Summer Term 1981","1981SU-Summer Term 1981",08-JUN-81,19-AUG-81,"1981","Academic Year 1980-1981","N","P","1982","1982",19-AUG-81,01-MAY-81,08-JUN-81,08-JUN-81,19-AUG-81,01-JUN-81,31-AUG-81,28-OCT-24
"1982SP","1982SP","Spring Term 1981-1982","1982SP-Spring Term 1981-1982",01-FEB-82,20-MAY-82,"1982","Academic Year 1981-1982","N","P","1982","1982",20-MAY-82,,01-FEB-82,02-FEB-82,20-MAY-82,16-JAN-82,31-MAY-82,28-OCT-24
"1983SP","1983SP","Spring Term 1982-1983","1983SP-Spring Term 1982-1983",31-JAN-83,18-MAY-83,"1983","Academic Year 1982-1983","N","P","1983","1983",18-MAY-83,,31-JAN-83,01-FEB-83,18-MAY-83,16-JAN-83,31-MAY-83,28-OCT-24
"1960SP","1960SP","Spring Term 1959-1960","1960SP-Spring Term 1959-1960",08-FEB-60,03-JUN-60,"1960","Academic Year 1959-1960","N","P","1960","1960",03-JUN-60,,08-FEB-60,09-FEB-60,03-JUN-60,,,28-OCT-24
"1984JA","1984JA","January Term 1983-1984","1984JA-January Term 1983-1984",09-JAN-84,01-FEB-84,"1984","Academic Year 1983-1984","N","P","","",01-FEB-84,,09-JAN-84,09-JAN-84,01-FEB-84,,,28-OCT-24
"1985SU","1985SU","Summer Term 1985","1985SU-Summer Term 1985",10-JUN-85,21-AUG-85,"1985","Academic Year 1984-1985","N","P","1986","1986",21-AUG-85,01-MAY-85,10-JUN-85,10-JUN-85,21-AUG-85,01-JUN-85,31-AUG-85,28-OCT-24
"1985SP","1985SP","Spring Term 1984-1985","1985SP-Spring Term 1984-1985",04-FEB-85,22-MAY-85,"1985","Academic Year 1984-1985","N","P","1985","1985",22-MAY-85,,04-FEB-85,05-FEB-85,22-MAY-85,16-JAN-85,31-MAY-85,28-OCT-24
"1985JA","1985JA","January Term 1984-1985","1985JA-January Term 1984-1985",07-JAN-85,30-JAN-85,"1985","Academic Year 1984-1985","N","P","","",30-JAN-85,,07-JAN-85,07-JAN-85,30-JAN-85,,,28-OCT-24
"1986SU","1986SU","Summer Term 1986","1986SU-Summer Term 1986",09-JUN-86,20-AUG-86,"1986","Academic Year 1985-1986","N","P","1987","1987",20-AUG-86,01-MAY-86,09-JUN-86,09-JUN-86,20-AUG-86,01-JUN-86,31-AUG-86,28-OCT-24
"1986SP","1986SP","Spring Term 1985-1986","1986SP-Spring Term 1985-1986",03-FEB-86,21-MAY-86,"1986","Academic Year 1985-1986","N","P","1986","1986",21-MAY-86,,03-FEB-86,04-FEB-86,21-MAY-86,16-JAN-86,31-MAY-86,28-OCT-24
"1986JA","1986JA","January Term 1985-1986","1986JA-January Term 1985-1986",06-JAN-86,29-JAN-86,"1986","Academic Year 1985-1986","N","P","","",29-JAN-86,,06-JAN-86,06-JAN-86,29-JAN-86,,,28-OCT-24
"1987SU","1987SU","Summer Term 1987","1987SU-Summer Term 1987",08-JUN-87,19-AUG-87,"1987","Academic Year 1986-1987","N","P","1988","1988",19-AUG-87,01-MAY-87,08-JUN-87,08-JUN-87,19-AUG-87,01-JUN-87,31-AUG-87,28-OCT-24
"1987SP","1987SP","Spring Term 1986-1987","1987SP-Spring Term 1986-1987",02-FEB-87,20-MAY-87,"1987","Academic Year 1986-1987","N","P","1987","1987",20-MAY-87,,02-FEB-87,03-FEB-87,20-MAY-87,16-JAN-87,31-MAY-87,28-OCT-24
"1987JA","1987JA","January Term 1986-1987","1987JA-January Term 1986-1987",05-JAN-87,28-JAN-87,"1987","Academic Year 1986-1987","N","P","","",28-JAN-87,,05-JAN-87,05-JAN-87,28-JAN-87,,,28-OCT-24
"1988SU","1988SU","Summer Term 1988","1988SU-Summer Term 1988",06-JUN-88,17-AUG-88,"1988","Academic Year 1987-1988","N","P","1989","1989",17-AUG-88,01-MAY-88,06-JUN-88,08-JUN-88,17-AUG-88,01-JUN-88,31-AUG-88,28-OCT-24
"1988JA","1988JA","January Term 1987-1988","1988JA-January Term 1987-1988",04-JAN-88,27-JAN-88,"1988","Academic Year 1987-1988","N","P","","",27-JAN-88,,04-JAN-88,04-JAN-88,27-JAN-88,,,28-OCT-24
"1961SP","1961SP","Spring Term 1960-1961","1961SP-Spring Term 1960-1961",06-FEB-61,02-JUN-61,"1961","Academic Year 1960-1961","N","P","1961","1961",02-JUN-61,,06-FEB-61,07-FEB-61,02-JUN-61,,,28-OCT-24
"1989SU","1989SU","Summer Term 1989","1989SU-Summer Term 1989",12-JUN-89,23-AUG-89,"1989","Academic Year 1988-1989","N","P","1990","1990",23-AUG-89,01-MAY-89,12-JUN-89,12-JUN-89,23-AUG-89,01-JUN-89,31-AUG-89,28-OCT-24
"1989JA","1989JA","January Term 1988-1989","1989JA-January Term 1988-1989",09-JAN-89,01-FEB-89,"1989","Academic Year 1988-1989","N","P","","",01-FEB-89,,09-JAN-89,09-JAN-89,01-FEB-89,,,28-OCT-24
"1994SU","1994SU","Summer Term 1994","1994SU-Summer Term 1994",06-JUN-94,16-AUG-94,"1994","Academic Year 1993-1994","N","P","1995","1995",17-AUG-94,01-MAY-94,06-JUN-94,06-JUN-94,12-AUG-94,01-JUN-94,31-AUG-94,28-OCT-24
"1994JA","1994JA","January Term 1993-1994","1994JA-January Term 1993-1994",03-JAN-94,26-JAN-94,"1994","Academic Year 1993-1994","N","P","","",26-JAN-94,,03-JAN-94,03-JAN-94,26-JAN-94,,,28-OCT-24
"1995JA","1995JA","January Term 1994-1995","1995JA-January Term 1994-1995",09-JAN-95,03-FEB-95,"1995","Academic Year 1994-1995","N","P","","",03-FEB-95,,09-JAN-95,09-JAN-95,03-FEB-95,,,28-OCT-24
"1995SU","1995SU","Summer Term 1995","1995SU-Summer Term 1995",12-JUN-95,22-AUG-95,"1995","Academic Year 1994-1995","N","P","1996","1996",22-AUG-95,01-MAY-95,12-JUN-95,12-JUN-95,22-AUG-95,01-JUN-95,31-AUG-95,28-OCT-24
"1963SU","1963SU","Summer Term 1963","1963SU-Summer Term 1963",17-JUN-63,29-AUG-63,"1963","Academic Year 1962-1963","N","P","1964","1964",29-AUG-63,01-MAY-63,17-JUN-63,17-JUN-63,29-AUG-63,,,28-OCT-24
"1962SU","1962SU","Summer Term 1962","1962SU-Summer Term 1962",18-JUN-62,30-AUG-62,"1962","Academic Year 1961-1962","N","P","1963","1963",30-AUG-62,01-MAY-62,18-JUN-62,18-JUN-62,30-AUG-62,,,28-OCT-24
"1961SU","1961SU","Summer Term 1961","1961SU-Summer Term 1961",19-JUN-61,31-AUG-61,"1961","Academic Year 1960-1961","N","P","1962","1962",31-AUG-61,01-MAY-61,19-JUN-61,19-JUN-61,31-AUG-61,,,28-OCT-24
"1960SU","1960SU","Summer Term 1960","1960SU-Summer Term 1960",20-JUN-60,01-SEP-60,"1960","Academic Year 1959-1960","N","P","1961","1961",01-SEP-60,01-MAY-60,20-JUN-60,20-JUN-60,01-SEP-60,,,28-OCT-24
"1959SP","1959SP","Spring Term 1958-1959","1959SP-Spring Term 1958-1959",09-FEB-59,05-JUN-59,"1959","Academic Year 1958-1959","N","P","XXXX","XXXX",29-MAY-59,,04-FEB-59,,,,,28-OCT-24
"1958SP","1958SP","Spring Term 1957-1958","1958SP-Spring Term 1957-1958",10-FEB-58,06-JUN-58,"1958","Academic Year 1957-1958","N","P","XXXX","XXXX",29-MAY-58,,04-FEB-58,,,,,28-OCT-24
"1957SP","1957SP","Spring Term 1956-1957","1957SP-Spring Term 1956-1957",01-FEB-57,05-JUN-57,"1957","Academic Year 1956-1957","N","P","XXXX","XXXX",29-MAY-57,,04-FEB-57,,,,,28-OCT-24
"1956SP","1956SP","Spring Term 1955-1956","1956SP-Spring Term 1955-1956",01-FEB-56,05-JUN-56,"1956","Academic Year 1955-1956","N","P","XXXX","XXXX",29-MAY-56,,05-FEB-56,,,,,28-OCT-24
"1955SP","1955SP","Spring Term 1954-1955","1955SP-Spring Term 1954-1955",01-FEB-55,05-JUN-55,"1955","Academic Year 1954-1955","N","P","1960","1960",30-MAY-55,,05-FEB-55,,,,,28-OCT-24
"1954SP","1954SP","Spring Term 1953-1954","1954SP-Spring Term 1953-1954",01-FEB-54,05-JUN-54,"1954","Academic Year 1953-1954","N","P","XXXX","XXXX",30-MAY-54,,05-FEB-54,,,,,28-OCT-24
"1953SP","1953SP","Spring Term 1952-1953","1953SP-Spring Term 1952-1953",01-FEB-53,05-JUN-53,"1953","Academic Year 1952-1953","N","P","XXXX","XXXX",30-MAY-53,,05-FEB-53,,,,,28-OCT-24
"1952SP","1952SP","Spring Term 1951-1952","1952SP-Spring Term 1951-1952",01-FEB-52,05-JUN-52,"1952","Academic Year 1951-1952","N","P","XXXX","XXXX",30-MAY-52,,06-FEB-52,,,,,28-OCT-24
"1951SP","1951SP","Spring Term 1950-1951","1951SP-Spring Term 1950-1951",01-FEB-51,05-JUN-51,"1951","Academic Year 1950-1951","N","P","XXXX","XXXX",29-MAY-51,,04-FEB-51,,,,,28-OCT-24
"1996FA","1996FA","Fall Term 1995-1996","1996FA-Fall Term 1995-1996",05-SEP-95,22-DEC-95,"1996","Academic Year 1995-1996","N","P","1996","1996",22-DEC-95,,05-SEP-95,06-SEP-95,13-DEC-95,01-SEP-95,15-JAN-96,28-OCT-24
"1996JA","1996JA","January Term 1995-1996","1996JA-January Term 1995-1996",08-JAN-96,02-FEB-96,"1996","Academic Year 1995-1996","N","P","","",02-FEB-96,,08-JAN-96,08-JAN-96,05-FEB-96,,,28-OCT-24
"1996SP","1996SP","Spring Term 1995-1996","1996SP-Spring Term 1995-1996",05-FEB-96,24-MAY-96,"1996","Academic Year 1995-1996","N","P","1996","1996",24-MAY-96,05-MAY-96,05-FEB-96,06-FEB-96,16-MAY-96,16-JAN-96,31-MAY-96,28-OCT-24
"2011SP","2011SP","Spring Term 2010-2011","2011SP-Spring Term 2010-2011",31-JAN-11,05-JUN-11,"2011","Academic Year 2010-2011","N","P","2011","2011",20-MAY-11,01-DEC-10,31-JAN-11,01-FEB-11,12-MAY-11,16-JAN-11,31-MAY-11,28-OCT-24
"2011JA","2011JA","January Term 2010-2011","2011JA-January Term 2010-2011",03-JAN-11,30-JAN-11,"2011","Academic Year 2010-2011","N","P","","",28-JAN-11,01-DEC-10,03-JAN-11,03-JAN-11,31-JAN-11,,,28-OCT-24
"2011SU","2011SU","Summer Term 2011","2011SU-Summer Term 2011",06-JUN-11,16-AUG-11,"2011","Academic Year 2010-2011","N","P","2012","2012",21-AUG-11,02-MAY-11,06-JUN-11,06-JUN-11,16-AUG-11,01-JUN-11,31-AUG-11,28-OCT-24
"2012FA","2012FA","Fall Term 2011-2012","2012FA-Fall Term 2011-2012",06-SEP-11,22-DEC-11,"2012","Academic Year 2011-2012","N","P","2012","2012",22-DEC-11,02-MAY-11,06-SEP-11,07-SEP-11,14-DEC-11,01-SEP-11,15-JAN-12,28-OCT-24
"2012SP","2012SP","Spring Term 2011-2012","2012SP-Spring Term 2011-2012",06-FEB-12,08-JUN-12,"2012","Academic Year 2011-2012","N","P","2012","2012",25-MAY-12,01-DEC-11,06-FEB-12,07-FEB-12,17-MAY-12,16-JAN-12,31-MAY-12,28-OCT-24
"2012JA","2012JA","January Term 2011-2012","2012JA-January Term 2011-2012",09-JAN-12,05-FEB-12,"2012","Academic Year 2011-2012","N","P","2012","2012",03-FEB-12,01-DEC-11,09-JAN-12,09-JAN-12,03-FEB-12,,,28-OCT-24
"2013FA","2013FA","Fall Term 2012-2013","2013FA-Fall Term 2012-2013",04-SEP-12,21-DEC-12,"2013","Academic Year 2012-2013","N","P","2013","2013",21-DEC-12,01-MAY-12,04-SEP-12,05-SEP-12,12-DEC-12,01-SEP-12,15-JAN-13,28-OCT-24
"2012SU","2012SU","Summer Term 2012","2012SU-Summer Term 2012",11-JUN-12,21-AUG-12,"2012","Academic Year 2011-2012","N","P","2013","2013",21-AUG-12,01-MAY-12,11-JUN-12,11-JUN-12,21-AUG-12,01-JUN-12,31-AUG-12,28-OCT-24
"2013JA","2013JA","January Term 2012-2013","2013JA-January Term 2012-2013",07-JAN-13,01-FEB-13,"2013","Academic Year 2012-2013","N","P","2013","2013",01-FEB-13,03-DEC-12,05-JAN-13,07-JAN-13,01-FEB-13,,,28-OCT-24
"2013SU","2013SU","Summer Term 2013","2013SU-Summer Term 2013",10-JUN-13,20-AUG-13,"2013","Academic Year 2012-2013","N","P","2014","2014",20-AUG-13,01-MAY-13,10-JUN-13,10-JUN-13,20-AUG-13,01-JUN-13,31-AUG-13,28-OCT-24
"2013SP","2013SP","Spring Term 2012-2013","2013SP-Spring Term 2012-2013",04-FEB-13,24-MAY-13,"2013","Academic Year 2012-2013","N","P","2013","2013",24-MAY-13,03-DEC-12,04-FEB-13,05-FEB-13,16-MAY-13,16-JAN-13,31-MAY-13,28-OCT-24
"2014SU","2014SU","Summer Term 2014","2014SU-Summer Term 2014",09-JUN-14,03-AUG-14,"2014","Academic Year 2013-2014","N","P","2015","2015",19-AUG-14,01-MAY-14,09-JUN-14,09-JUN-14,19-AUG-14,01-JUN-14,31-AUG-14,28-OCT-24
"2014SP","2014SP","Spring Term 2013-2014","2014SP-Spring Term 2013-2014",03-FEB-14,23-MAY-14,"2014","Academic Year 2013-2014","N","P","2014","2014",23-MAY-14,02-DEC-13,03-FEB-14,04-FEB-14,15-MAY-14,16-JAN-14,31-MAY-14,28-OCT-24
"2014JA","2014JA","January Term 2013-2014","2014JA-January Term 2013-2014",06-JAN-14,31-JAN-14,"2014","Academic Year 2013-2014","N","P","2014","2014",31-JAN-14,02-DEC-13,06-JAN-14,06-JAN-14,31-JAN-14,,,28-OCT-24
"2014FA","2014FA","Fall Term 2013-2014","2014FA-Fall Term 2013-2014",03-SEP-13,20-DEC-13,"2014","Academic Year 2013-2014","N","P","2014","2014",20-DEC-13,01-MAY-13,03-SEP-13,04-SEP-13,11-DEC-13,01-SEP-13,15-JAN-14,28-OCT-24
