"ACADEMIC_TERMS_KEY","TERM_CODE","TERM_DESCRIPTION","TERM_SELECTOR","TERM_START_DATE","TERM_END_DATE","ACADEMIC_YEAR","ACADEMIC_YEAR_DESC","IS_CURRENT_TERM","TERM_STATUS_INDICATOR","FINANCIAL_AID_YEAR","DEGREE_YEAR","LAST_DAY_OF_FINAL_EXAM","PRE_REGISTRATION_START_DAY","REGISTRATION_DAY","FIRST_DAY_OF_CLASSES","LAST_DAY_OF_CLASSES","GRADUATE_AWARD_START_DATE","GRADUATE_AWARD_END_DATE","WAREHOUSE_LOAD_DATE"
"2015SU","2015SU","Summer Term 2015","2015SU-Summer Term 2015",08-JUN-15,18-AUG-15,"2015","Academic Year 2014-2015","N","P","2016","2016",18-AUG-15,01-MAY-15,08-JUN-15,08-JUN-15,14-AUG-15,01-JUN-15,31-AUG-15,28-OCT-24
"2015SP","2015SP","Spring Term 2014-2015","2015SP-Spring Term 2014-2015",02-FEB-15,22-MAY-15,"2015","Academic Year 2014-2015","N","P","2015","2015",22-MAY-15,01-DEC-14,02-FEB-15,03-FEB-15,14-MAY-15,16-JAN-15,31-MAY-15,28-OCT-24
"2015JA","2015JA","January Term 2014-2015","2015JA-January Term 2014-2015",05-JAN-15,30-JAN-15,"2015","Academic Year 2014-2015","N","P","2015","2015",30-JAN-15,01-DEC-14,05-JAN-15,05-JAN-15,30-JAN-15,,,28-OCT-24
"2015FA","2015FA","Fall Term 2014-2015","2015FA-Fall Term 2014-2015",02-SEP-14,19-DEC-14,"2015","Academic Year 2014-2015","N","P","2015","2015",19-DEC-14,01-MAY-14,02-SEP-14,03-SEP-14,10-DEC-14,01-SEP-14,15-JAN-15,28-OCT-24
"2016SU","2016SU","Summer Term 2016","2016SU-Summer Term 2016",06-JUN-16,16-AUG-16,"2016","Academic Year 2015-2016","N","P","2017","2017",16-AUG-16,02-MAY-16,06-JUN-16,06-JUN-16,12-AUG-16,01-JUN-16,31-AUG-16,28-OCT-24
"2016SP","2016SP","Spring Term 2015-2016","2016SP-Spring Term 2015-2016",01-FEB-16,20-MAY-16,"2016","Academic Year 2015-2016","N","P","2016","2016",20-MAY-16,01-DEC-15,01-FEB-16,02-FEB-16,12-MAY-16,16-JAN-16,31-MAY-16,28-OCT-24
"2016JA","2016JA","January Term 2015-2016","2016JA-January Term 2015-2016",04-JAN-16,29-JAN-16,"2016","Academic Year 2015-2016","N","P","2016","2016",29-JAN-16,01-DEC-15,04-JAN-16,04-JAN-16,29-JAN-16,,,28-OCT-24
"2016FA","2016FA","Fall Term 2015-2016","2016FA-Fall Term 2015-2016",08-SEP-15,18-DEC-15,"2016","Academic Year 2015-2016","N","P","2016","2016",18-DEC-15,01-MAY-15,08-SEP-15,09-SEP-15,10-DEC-15,01-SEP-15,15-JAN-16,28-OCT-24
"2017SU","2017SU","Summer Term 2017","2017SU-Summer Term 2017",12-JUN-17,22-AUG-17,"2017","Academic Year 2016-2017","N","P","2018","2018",22-AUG-17,01-MAY-17,12-JUN-17,12-JUN-17,18-AUG-17,01-JUN-17,31-AUG-17,28-OCT-24
"2017JA","2017JA","January Term 2016-2017","2017JA-January Term 2016-2017",09-JAN-17,03-FEB-17,"2017","Academic Year 2016-2017","N","P","2017","2017",03-FEB-17,01-DEC-16,09-JAN-17,09-JAN-17,03-FEB-17,,,28-OCT-24
"2018FA","2018FA","Fall Term 2017-2018","2018FA-Fall Term 2017-2018",05-SEP-17,22-DEC-17,"2018","Academic Year 2017-2018","N","P","2018","2018",22-DEC-17,01-MAY-17,05-SEP-17,06-SEP-17,13-DEC-17,01-SEP-17,15-JAN-18,28-OCT-24
"2018JA","2018JA","January Term 2017-2018","2018JA-January Term 2017-2018",08-JAN-18,02-FEB-18,"2018","Academic Year 2017-2018","N","P","2018","2018",02-FEB-18,01-DEC-17,08-JAN-18,08-JAN-18,02-FEB-18,,,28-OCT-24
"2018SP","2018SP","Spring Term 2017-2018","2018SP-Spring Term 2017-2018",05-FEB-18,25-MAY-18,"2018","Academic Year 2017-2018","N","P","2018","2018",25-MAY-18,01-DEC-17,05-FEB-18,06-FEB-18,17-MAY-18,16-JAN-18,31-MAY-18,28-OCT-24
"2018SU","2018SU","Summer Term 2018","2018SU-Summer Term 2018",11-JUN-18,21-AUG-18,"2018","Academic Year 2017-2018","N","P","2019","2019",21-AUG-18,01-MAY-18,11-JUN-18,11-JUN-18,17-AUG-18,01-JUN-18,31-AUG-18,28-OCT-24
"2019FA","2019FA","Fall Term 2018-2019","2019FA-Fall Term 2018-2019",04-SEP-18,21-DEC-18,"2019","Academic Year 2018-2019","N","P","2019","2019",21-DEC-18,01-MAY-18,04-SEP-18,05-SEP-18,12-DEC-18,01-SEP-18,15-JAN-19,28-OCT-24
"2019JA","2019JA","January Term 2018-2019","2019JA-January Term 2018-2019",07-JAN-19,01-FEB-19,"2019","Academic Year 2018-2019","N","P","2019","2019",01-FEB-19,01-DEC-18,06-JAN-19,07-JAN-19,01-FEB-19,,,28-OCT-24
"2019SP","2019SP","Spring Term 2018-2019","2019SP-Spring Term 2018-2019",04-FEB-19,24-MAY-19,"2019","Academic Year 2018-2019","N","P","2019","2019",24-MAY-19,01-DEC-18,04-FEB-19,05-FEB-19,24-MAY-19,16-JAN-19,31-MAY-19,28-OCT-24
"2019SU","2019SU","Summer Term 2019","2019SU-Summer Term 2019",10-JUN-19,20-AUG-19,"2019","Academic Year 2018-2019","N","P","2020","2020",20-AUG-19,01-MAY-19,10-JUN-19,10-JUN-19,16-AUG-19,01-JUN-19,31-AUG-19,28-OCT-24
"2020FA","2020FA","Fall Term 2019-2020","2020FA-Fall Term 2019-2020",03-SEP-19,20-DEC-19,"2020","Academic Year 2019-2020","N","P","2020","2020",20-DEC-19,01-MAY-19,03-SEP-19,04-SEP-19,11-DEC-19,01-SEP-19,15-JAN-20,28-OCT-24
"2020JA","2020JA","January Term 2019-2020","2020JA-January Term 2019-2020",06-JAN-20,31-JAN-20,"2020","Academic Year 2019-2020","N","P","2020","2020",31-JAN-20,02-DEC-19,06-JAN-20,06-JAN-20,31-JAN-20,,,28-OCT-24
"2020SP","2020SP","Spring Term 2019-2020","2020SP-Spring Term 2019-2020",01-FEB-20,20-MAY-20,"2020","Academic Year 2019-2020","N","P","2020","2020",20-MAY-20,02-DEC-19,31-JAN-20,03-FEB-20,12-MAY-20,16-JAN-20,29-MAY-20,28-OCT-24
"2020SU","2020SU","Summer Term 2020","2020SU-Summer Term 2020",08-JUN-20,18-AUG-20,"2020","Academic Year 2019-2020","N","P","2021","2021",18-AUG-20,01-JUN-20,08-JUN-20,08-JUN-20,14-AUG-20,01-JUN-20,31-AUG-20,28-OCT-24
"2021FA","2021FA","Fall Term 2020-2021","2021FA-Fall Term 2020-2021",31-AUG-20,18-DEC-20,"2021","Academic Year 2020-2021","N","P","2021","2021",18-DEC-20,20-JUL-20,31-AUG-20,01-SEP-20,09-DEC-20,01-SEP-20,15-JAN-21,28-OCT-24
"2021JA","2021JA","January Term 2020-2021","2021JA-January Term 2020-2021",04-JAN-21,29-JAN-21,"2021","Academic Year 2020-2021","N","P","2021","2021",29-JAN-21,01-DEC-20,04-JAN-21,04-JAN-21,29-JAN-21,,,28-OCT-24
"2021SP","2021SP","Spring Term 2020-2021","2021SP-Spring Term 2020-2021",12-FEB-21,27-MAY-21,"2021","Academic Year 2020-2021","N","P","2021","2021",27-MAY-21,01-DEC-20,12-FEB-21,16-FEB-21,20-MAY-21,16-JAN-21,31-MAY-21,28-OCT-24
"2021SU","2021SU","Summer Term 2021","2021SU-Summer Term 2021",07-JUN-21,17-AUG-21,"2021","Academic Year 2020-2021","N","P","2022","2022",17-AUG-21,03-MAY-21,07-JUN-21,07-JUN-21,13-AUG-21,01-JUN-21,31-AUG-21,28-OCT-24
"2022FA","2022FA","Fall Term 2021-2022","2022FA-Fall Term 2021-2022",07-SEP-21,17-DEC-21,"2022","Academic Year 2021-2022","N","P","2022","2022",17-DEC-21,03-MAY-21,07-SEP-21,08-SEP-21,09-DEC-21,01-SEP-21,15-JAN-22,28-OCT-24
"2022JA","2022JA","January Term 2021-2022","2022JA-January Term 2021-2022",03-JAN-22,28-JAN-22,"2022","Academic Year 2021-2022","N","P","2022","2022",28-JAN-22,01-DEC-21,03-JAN-22,03-JAN-22,28-JAN-22,,,28-OCT-24
"2022SP","2022SP","Spring Term 2021-2022","2022SP-Spring Term 2021-2022",29-JAN-22,18-MAY-22,"2022","Academic Year 2021-2022","N","P","2022","2022",18-MAY-22,01-DEC-21,28-JAN-22,31-JAN-22,10-MAY-22,16-JAN-22,31-MAY-22,28-OCT-24
"2022SU","2022SU","Summer Term 2022","2022SU-Summer Term 2022",06-JUN-22,16-AUG-22,"2022","Academic Year 2021-2022","N","P","2023","2023",16-AUG-22,02-MAY-22,06-JUN-22,06-JUN-22,12-AUG-22,01-JUN-22,31-AUG-22,28-OCT-24
"2017FA","2017FA","Fall Term 2016-2017","2017FA-Fall Term 2016-2017",06-SEP-16,22-DEC-16,"2017","Academic Year 2016-2017","N","P","2017","2017",22-DEC-16,02-MAY-16,06-SEP-16,07-SEP-16,14-DEC-16,01-SEP-16,15-JAN-17,28-OCT-24
"2017SP","2017SP","Spring Term 2016-2017","2017SP-Spring Term 2016-2017",06-FEB-17,26-MAY-17,"2017","Academic Year 2016-2017","N","P","2017","2017",26-MAY-17,01-DEC-16,06-FEB-17,07-FEB-17,18-MAY-17,16-JAN-17,31-MAY-17,28-OCT-24
"2023FA","2023FA","Fall Term 2022-2023","2023FA-Fall Term 2022-2023",06-SEP-22,22-DEC-22,"2023","Academic Year 2022-2023","N","P","2023","2023",22-DEC-22,02-MAY-22,06-SEP-22,07-SEP-22,14-DEC-22,01-SEP-22,15-JAN-23,28-OCT-24
"2023JA","2023JA","January Term 2022-2023","2023JA-January Term 2022-2023",09-JAN-23,03-FEB-23,"2023","Academic Year 2022-2023","N","P","2023","2023",03-FEB-23,01-DEC-22,09-JAN-23,09-JAN-23,03-FEB-23,,,28-OCT-24
"2023SP","2023SP","Spring Term 2022-2023","2023SP-Spring Term 2022-2023",04-FEB-23,24-MAY-23,"2023","Academic Year 2022-2023","N","P","2023","2023",24-MAY-23,01-DEC-22,03-FEB-23,06-FEB-23,16-MAY-23,16-JAN-23,31-MAY-23,28-OCT-24
"2023SU","2023SU","Summer Term 2023","2023SU-Summer Term 2023",12-JUN-23,22-AUG-23,"2023","Academic Year 2022-2023","N","P","2024","2024",22-AUG-23,01-MAY-23,12-JUN-23,12-JUN-23,18-AUG-23,01-JUN-23,31-AUG-23,28-OCT-24
"2024FA","2024FA","Fall Term 2023-2024","2024FA-Fall Term 2023-2024",05-SEP-23,22-DEC-23,"2024","Academic Year 2023-2024","N","P","2024","2024",22-DEC-23,01-MAY-23,05-SEP-23,06-SEP-23,13-DEC-23,01-SEP-23,15-JAN-24,28-OCT-24
"2024JA","2024JA","January Term 2023-2024","2024JA-January Term 2023-2024",08-JAN-24,02-FEB-24,"2024","Academic Year 2023-2024","N","P","2024","2024",02-FEB-24,01-DEC-23,08-JAN-24,08-JAN-24,02-FEB-24,,,28-OCT-24
"2024SP","2024SP","Spring Term 2023-2024","2024SP-Spring Term 2023-2024",02-FEB-24,22-MAY-24,"2024","Academic Year 2023-2024","N","P","2024","2024",22-MAY-24,01-DEC-23,02-FEB-24,05-FEB-24,14-MAY-24,16-JAN-24,31-MAY-24,28-OCT-24
"2024SU","2024SU","Summer Term 2024","2024SU-Summer Term 2024",10-JUN-24,20-AUG-24,"2024","Academic Year 2023-2024","N","P","2025","2025",20-AUG-24,01-MAY-24,10-JUN-24,10-JUN-24,16-AUG-24,01-JUN-24,31-AUG-24,28-OCT-24
"2025SU","2025SU","Summer Term 2025","2025SU-Summer Term 2025",09-JUN-25,19-AUG-25,"2025","Academic Year 2024-2025","N","","2026","2026",19-AUG-25,01-MAY-25,09-JUN-25,09-JUN-25,15-AUG-25,01-JUN-25,31-AUG-25,28-OCT-24
"2025SP","2025SP","Spring Term 2024-2025","2025SP-Spring Term 2024-2025",01-FEB-25,21-MAY-25,"2025","Academic Year 2024-2025","N","F","2025","2025",21-MAY-25,01-DEC-24,31-JAN-25,03-FEB-25,13-MAY-25,16-JAN-25,31-MAY-25,28-OCT-24
"2025JA","2025JA","January Term 2024-2025","2025JA-January Term 2024-2025",06-JAN-25,31-JAN-25,"2025","Academic Year 2024-2025","N","F","2025","2025",31-JAN-25,01-DEC-24,06-JAN-25,06-JAN-25,31-JAN-25,,,28-OCT-24
"2025FA","2025FA","Fall Term 2024-2025","2025FA-Fall Term 2024-2025",03-SEP-24,20-DEC-24,"2025","Academic Year 2024-2025","Y","C","2025","2025",20-DEC-24,01-MAY-24,03-SEP-24,04-SEP-24,11-DEC-24,01-SEP-24,15-JAN-25,28-OCT-24
"2026FA","2026FA","Fall Term 2025-2026","2026FA-Fall Term 2025-2026",02-SEP-25,19-DEC-25,"2026","Academic Year 2025-2026","N","","2026","2026",20-DEC-25,01-MAY-25,03-SEP-25,,,,,28-OCT-24
"2026SU","2026SU","Summer Term 2026","2026SU-Summer Term 2026",08-JUN-26,18-AUG-26,"2026","Academic Year 2025-2026","N","","2027","2027",19-AUG-26,01-MAY-26,09-JUN-26,,,,,28-OCT-24
"2026SP","2026SP","Spring Term 2025-2026","2026SP-Spring Term 2025-2026",03-FEB-26,20-MAY-26,"2026","Academic Year 2025-2026","N","","2026","2026",21-MAY-26,01-DEC-25,31-JAN-26,,,,,28-OCT-24
"2026JA","2026JA","January Term 2025-2026","2026JA-January Term 2025-2026",05-JAN-26,30-JAN-26,"2026","Academic Year 2025-2026","N","","2026","2026",31-JAN-26,01-DEC-25,06-JAN-26,,,,,28-OCT-24
"2027FA","2027FA","Fall Term 2026-2027","2027FA-Fall Term 2026-2027",08-SEP-26,18-DEC-26,"2027","Academic Year 2026-2027","N","","2027","2027",20-DEC-26,01-MAY-26,03-SEP-26,,,,,28-OCT-24
"2027JA","2027JA","January Term 2026-2027","2027JA-January Term 2026-2027",04-JAN-27,29-JAN-27,"2027","Academic Year 2026-2027","N","","2027","2027",31-JAN-27,01-DEC-26,06-JAN-27,,,,,28-OCT-24
"2027SP","2027SP","Spring Term 2026-2027","2027SP-Spring Term 2026-2027",01-FEB-27,19-MAY-27,"2027","Academic Year 2026-2027","N","","2027","2027",21-MAY-27,01-DEC-26,31-JAN-27,,,,,28-OCT-24
"2027SU","2027SU","Summer Term 2027","2027SU-Summer Term 2027",07-JUN-27,17-AUG-27,"2027","Academic Year 2026-2027","N","","2028","2028",19-AUG-27,01-MAY-27,09-JUN-27,,,,,28-OCT-24
"2028FA","2028FA","Fall Term 2027-2028","2028FA-Fall Term 2027-2028",07-SEP-27,17-DEC-27,"2028","Academic Year 2027-2028","N","","2028","2028",17-DEC-27,01-MAY-27,07-SEP-27,,,,,28-OCT-24
"2028JA","2028JA","January Term 2027-2028","2028JA-January Term 2027-2028",03-JAN-28,28-JAN-28,"2028","Academic Year 2027-2028","N","","2028","2028",31-JAN-28,01-DEC-27,06-JAN-28,,,,,28-OCT-24
"2028SP","2028SP","Spring Term 2027-2028","2028SP-Spring Term 2027-2028",31-JAN-28,17-MAY-28,"2028","Academic Year 2027-2028","N","","2028","2028",17-MAY-28,01-DEC-27,28-JAN-28,,,,,28-OCT-24
"2028SU","2028SU","Summer Term 2028","2028SU-Summer Term 2028",05-JUN-28,15-AUG-28,"2028","Academic Year 2027-2028","N","","2029","2029",18-AUG-28,01-MAY-28,08-JUN-28,,,,,28-OCT-24
"2029FA","2029FA","Fall Term 2028-2029","2029FA-Fall Term 2028-2029",06-SEP-28,22-DEC-28,"2029","Academic Year 2028-2029","N","","2029","2029",16-DEC-28,01-MAY-28,06-SEP-28,,,,,28-OCT-24
"2029JA","2029JA","January Term 2028-2029","2029JA-January Term 2028-2029",03-JAN-29,28-JAN-29,"2029","Academic Year 2028-2029","N","","2029","2029",30-JAN-29,01-DEC-28,05-JAN-29,,,,,28-OCT-24
"2029SP","2029SP","Spring Term 2028-2029","2029SP-Spring Term 2028-2029",31-JAN-29,17-MAY-29,"2029","Academic Year 2028-2029","N","","2029","2029",17-MAY-29,01-DEC-28,27-JAN-29,,,,,28-OCT-24
"2029SU","2029SU","Summer Term 2029","2029SU-Summer Term 2029",05-JUN-29,15-AUG-29,"2029","Academic Year 2028-2029","N","","2030","2030",18-AUG-29,01-MAY-29,08-JUN-29,,,,,28-OCT-24
"2030FA","2030FA","Fall Term 2029-2030","2030FA-Fall Term 2029-2030",06-SEP-29,21-DEC-29,"2030","Academic Year 2029-2030","N","","2030","2030",16-DEC-29,01-MAY-29,06-SEP-29,,,,,28-OCT-24
"2030JA","2030JA","January Term 2029-2030","2030JA-January Term 2029-2030",07-JAN-30,01-FEB-30,"2030","Academic Year 2029-2030","N","","2030","2030",30-JAN-30,01-DEC-29,05-JAN-30,,,,,28-OCT-24
"2030SP","2030SP","Spring Term 2029-2030","2030SP-Spring Term 2029-2030",04-FEB-30,22-MAY-30,"2030","Academic Year 2029-2030","N","","2030","2030",17-MAY-30,01-DEC-29,27-JAN-30,,,,,28-OCT-24
"2030SU","2030SU","Summer Term 2030","2030SU-Summer Term 2030",10-JUN-30,20-AUG-30,"2030","Academic Year 2029-2030","N","","2031","2031",18-AUG-30,01-MAY-30,08-JUN-30,,,,,28-OCT-24
"1999JA","1999JA","January Term 1998-1999","1999JA-January Term 1998-1999",04-JAN-99,29-JAN-99,"1999","Academic Year 1998-1999","N","P","","",29-JAN-99,30-NOV-98,04-JAN-99,04-JAN-99,29-JAN-99,,,28-OCT-24
"2000JA","2000JA","January Term 1999-2000","2000JA-January Term 1999-2000",03-JAN-00,28-JAN-00,"2000","Academic Year 1999-2000","N","P","","",29-JAN-00,30-NOV-99,04-JAN-00,04-JAN-00,28-JAN-00,,,28-OCT-24
"2001JA","2001JA","January Term 2000-2001","2001JA-January Term 2000-2001",08-JAN-01,02-FEB-01,"2001","Academic Year 2000-2001","N","P","","",02-FEB-01,30-NOV-00,08-JAN-01,08-JAN-01,02-FEB-01,,,28-OCT-24
"2002JA","2002JA","January Term 2001-2002","2002JA-January Term 2001-2002",07-JAN-02,03-FEB-02,"2002","Academic Year 2001-2002","N","P","","",01-FEB-02,29-NOV-01,03-JAN-02,07-JAN-02,01-FEB-02,,,28-OCT-24
"2003JA","2003JA","January Term 2002-2003","2003JA-January Term 2002-2003",06-JAN-03,02-FEB-03,"2003","Academic Year 2002-2003","N","P","","",31-JAN-03,29-NOV-02,06-JAN-03,06-JAN-03,31-JAN-03,,,28-OCT-24
"2004JA","2004JA","January Term 2003-2004","2004JA-January Term 2003-2004",05-JAN-04,30-JAN-04,"2004","Academic Year 2003-2004","N","P","","",30-JAN-04,29-NOV-03,05-JAN-04,05-JAN-04,30-JAN-04,,,28-OCT-24
"2005JA","2005JA","January Term 2004-2005","2005JA-January Term 2004-2005",03-JAN-05,28-JAN-05,"2005","Academic Year 2004-2005","N","P","","",28-JAN-05,01-DEC-04,03-JAN-05,03-JAN-05,28-JAN-05,,,28-OCT-24
"1959SU","1959SU","Summer Term 1959","1959SU-Summer Term 1959",06-JUN-59,26-AUG-59,"1959","Academic Year 1958-1959","N","P","1960","1960",20-AUG-59,01-MAY-59,10-JUN-59,,,,,28-OCT-24
"1958SU","1958SU","Summer Term 1958","1958SU-Summer Term 1958",07-JUN-58,27-AUG-58,"1958","Academic Year 1957-1958","N","P","1960","1960",20-AUG-58,01-MAY-58,10-JUN-58,,,,,28-OCT-24
"1957SU","1957SU","Summer Term 1957","1957SU-Summer Term 1957",05-JUN-57,15-AUG-57,"1957","Academic Year 1956-1957","N","P","1960","1960",20-AUG-57,01-MAY-57,10-JUN-57,,,,,28-OCT-24
"1956SU","1956SU","Summer Term 1956","1956SU-Summer Term 1956",05-JUN-56,15-AUG-56,"1956","Academic Year 1955-1956","N","P","1960","1960",20-AUG-56,01-MAY-56,10-JUN-56,,,,,28-OCT-24
"1955SU","1955SU","Summer Term 1955","1955SU-Summer Term 1955",05-JUN-55,15-AUG-55,"1955","Academic Year 1954-1955","N","P","1960","1960",21-AUG-55,01-MAY-55,11-JUN-55,,,,,28-OCT-24
"1954SU","1954SU","Summer Term 1954","1954SU-Summer Term 1954",05-JUN-54,15-AUG-54,"1954","Academic Year 1953-1954","N","P","1960","1960",21-AUG-54,01-MAY-54,11-JUN-54,,,,,28-OCT-24
"1953SU","1953SU","Summer Term 1953","1953SU-Summer Term 1953",05-JUN-53,15-AUG-53,"1953","Academic Year 1952-1953","N","P","1960","1960",21-AUG-53,01-MAY-53,11-JUN-53,,,,,28-OCT-24
"1952SU","1952SU","Summer Term 1952","1952SU-Summer Term 1952",05-JUN-52,15-AUG-52,"1952","Academic Year 1951-1952","N","P","1960","1960",21-AUG-52,01-MAY-52,11-JUN-52,,,,,28-OCT-24
"1951SU","1951SU","Summer Term 1951","1951SU-Summer Term 1951",05-JUN-51,15-AUG-51,"1951","Academic Year 1950-1951","N","P","1960","1960",20-AUG-51,01-MAY-51,10-JUN-51,,,,,28-OCT-24
"2006SP","2006SP","Spring Term 2005-2006","2006SP-Spring Term 2005-2006",06-FEB-06,28-MAY-06,"2006","Academic Year 2005-2006","N","P","2006","2006",26-MAY-06,01-DEC-05,06-FEB-06,07-FEB-06,18-MAY-06,16-JAN-06,31-MAY-06,28-OCT-24
"2006FA","2006FA","Fall Term 2005-2006","2006FA-Fall Term 2005-2006",06-SEP-05,22-DEC-05,"2006","Academic Year 2005-2006","N","P","2006","2006",22-DEC-05,02-MAY-05,06-SEP-05,07-SEP-05,14-DEC-05,01-SEP-05,15-JAN-06,28-OCT-24
"2006SU","2006SU","Summer Term 2006","2006SU-Summer Term 2006",12-JUN-06,22-AUG-06,"2006","Academic Year 2005-2006","N","P","2007","2007",22-AUG-06,01-MAY-06,12-JUN-06,12-JUN-06,22-AUG-06,01-JUN-06,31-AUG-06,28-OCT-24
"2006JA","2006JA","January Term 2005-2006","2006JA-January Term 2005-2006",09-JAN-06,03-FEB-06,"2006","Academic Year 2005-2006","N","P","","",03-FEB-06,01-DEC-05,09-JAN-06,09-JAN-06,03-FEB-06,,,28-OCT-24
"2007FA","2007FA","Fall Term 2006-2007","2007FA-Fall Term 2006-2007",05-SEP-06,22-DEC-06,"2007","Academic Year 2006-2007","N","P","2007","2007",22-DEC-06,01-MAY-06,05-SEP-06,06-SEP-06,13-DEC-06,01-SEP-06,15-JAN-07,28-OCT-24
"2007JA","2007JA","January Term 2006-2007","2007JA-January Term 2006-2007",08-JAN-07,04-FEB-07,"2007","Academic Year 2006-2007","N","P","","",02-FEB-07,01-DEC-06,08-JAN-07,08-JAN-07,02-FEB-07,,,28-OCT-24
"2007SP","2007SP","Spring Term 2006-2007","2007SP-Spring Term 2006-2007",05-FEB-07,25-MAY-07,"2007","Academic Year 2006-2007","N","P","2007","2007",25-MAY-07,01-DEC-06,05-FEB-07,06-FEB-07,17-MAY-07,16-JAN-07,31-MAY-07,28-OCT-24
"2007SU","2007SU","Summer Term 2007","2007SU-Summer Term 2007",11-JUN-07,21-AUG-07,"2007","Academic Year 2006-2007","N","P","2008","2008",21-AUG-07,01-MAY-07,11-JUN-07,11-JUN-07,21-AUG-07,01-JUN-07,31-AUG-07,28-OCT-24
"2008FA","2008FA","Fall Term 2007-2008","2008FA-Fall Term 2007-2008",04-SEP-07,21-DEC-07,"2008","Academic Year 2007-2008","N","P","2008","2008",21-DEC-07,01-MAY-07,04-SEP-07,05-SEP-07,12-DEC-07,01-SEP-07,15-JAN-08,28-OCT-24
"2008JA","2008JA","January Term 2007-2008","2008JA-January Term 2007-2008",07-JAN-08,03-FEB-08,"2008","Academic Year 2007-2008","N","P","","",01-FEB-08,03-DEC-07,07-JAN-08,07-JAN-08,01-FEB-08,,,28-OCT-24
"2008SP","2008SP","Spring Term 2007-2008","2008SP-Spring Term 2007-2008",04-FEB-08,23-MAY-08,"2008","Academic Year 2007-2008","N","P","2008","2008",23-MAY-08,03-DEC-07,04-FEB-08,05-FEB-08,15-MAY-08,16-JAN-08,31-MAY-08,28-OCT-24
"2008SU","2008SU","Summer Term 2008","2008SU-Summer Term 2008",09-JUN-08,19-AUG-08,"2008","Academic Year 2007-2008","N","P","2009","2009",19-AUG-08,01-MAY-08,09-JUN-08,09-JUN-08,19-AUG-08,01-JUN-08,31-AUG-08,28-OCT-24
"2009FA","2009FA","Fall Term 2008-2009","2009FA-Fall Term 2008-2009",02-SEP-08,19-DEC-08,"2009","Academic Year 2008-2009","N","P","2009","2009",19-DEC-08,01-MAY-08,02-SEP-08,03-SEP-08,10-DEC-08,01-SEP-08,15-JAN-09,28-OCT-24
"2009JA","2009JA","January Term 2008-2009","2009JA-January Term 2008-2009",05-JAN-09,01-FEB-09,"2009","Academic Year 2008-2009","N","P","","",30-JAN-09,01-DEC-08,05-JAN-09,05-JAN-09,30-JAN-09,,,28-OCT-24
"2009SP","2009SP","Spring Term 2008-2009","2009SP-Spring Term 2008-2009",02-FEB-09,22-MAY-09,"2009","Academic Year 2008-2009","N","P","2009","2009",22-MAY-09,01-DEC-08,02-FEB-09,03-FEB-09,14-MAY-09,16-JAN-09,31-MAY-09,28-OCT-24
"2009SU","2009SU","Summer Term 2009","2009SU-Summer Term 2009",08-JUN-09,18-AUG-09,"2009","Academic Year 2008-2009","N","P","2010","2010",18-AUG-09,01-MAY-09,08-JUN-09,08-JUN-09,18-AUG-09,01-JUN-09,31-AUG-09,28-OCT-24
"2010FA","2010FA","Fall Term 2009-2010","2010FA-Fall Term 2009-2010",08-SEP-09,18-DEC-09,"2010","Academic Year 2009-2010","N","P","2010","2010",18-DEC-09,01-MAY-09,08-SEP-09,09-SEP-09,10-DEC-09,01-SEP-09,15-JAN-10,28-OCT-24
"2010JA","2010JA","January Term 2009-2010","2010JA-January Term 2009-2010",04-JAN-10,31-JAN-10,"2010","Academic Year 2009-2010","N","P","","",29-JAN-10,01-DEC-09,04-JAN-10,04-JAN-10,01-FEB-10,,,28-OCT-24
"2010SP","2010SP","Spring Term 2009-2010","2010SP-Spring Term 2009-2010",01-FEB-10,21-MAY-10,"2010","Academic Year 2009-2010","N","P","2010","2010",21-MAY-10,01-DEC-09,01-FEB-10,02-FEB-10,13-MAY-10,16-JAN-10,31-MAY-10,28-OCT-24
"2010SU","2010SU","Summer Term 2010","2010SU-Summer Term 2010",07-JUN-10,17-AUG-10,"2010","Academic Year 2009-2010","N","P","2011","2011",17-AUG-10,03-MAY-10,07-JUN-10,07-JUN-10,17-AUG-10,01-JUN-10,31-AUG-10,28-OCT-24
"2011FA","2011FA","Fall Term 2010-2011","2011FA-Fall Term 2010-2011",07-SEP-10,17-DEC-10,"2011","Academic Year 2010-2011","N","P","2011","2011",17-DEC-10,03-MAY-10,07-SEP-10,08-SEP-10,09-DEC-10,01-SEP-10,15-JAN-11,28-OCT-24
