"USER_NAME","HAS_FINANCIAL_AUTH","HAS_HR_FULL_AUTH","HAS_HR_LIMITED_AUTH","HAS_PAYROLL_AUTH","WAREHOUSE_LOAD_DATE"
"GBEAU","N","N","N","N",28-OCT-24
"WROUSH","N","N","N","N",28-OCT-24
"MI25418","N","N","N","N",28-OCT-24
"KACOTE","N","N","N","N",28-OCT-24
"CSTEELMA","N","N","N","N",28-OCT-24
"QUNL","N","N","N","N",28-OCT-24
"VIVIANR","N","N","N","N",28-OCT-24
"CMATHEWS","Y","N","N","N",28-OCT-24
"HO25574","N","N","N","N",28-OCT-24
"MI25533","N","N","N","N",28-OCT-24
"LO25526","N","N","N","N",28-OCT-24
"CANAND","Y","N","N","N",28-OCT-24
"AL25390","N","N","N","N",28-OCT-24
"SKARTHIK","N","N","N","N",28-OCT-24
"BR25539","N","N","N","N",28-OCT-24
"MI23169","N","N","N","N",28-OCT-24
"CR25550","N","N","N","N",28-OCT-24
"CVONDRAK","N","N","N","N",28-OCT-24
"ZBOGORAD","N","N","N","N",28-OCT-24
"GAIER","N","N","N","N",28-OCT-24
"JMARTIS","N","N","N","N",28-OCT-24
"MBURT","Y","N","N","N",28-OCT-24
"YFUENTES","Y","N","N","N",28-OCT-24
"CMWAY","Y","N","N","Y",28-OCT-24
"JUPTON","Y","N","N","N",28-OCT-24
"JGUBB","N","N","N","N",28-OCT-24
"EGUCHIL","N","N","N","N",28-OCT-24
"JOAOPACH","N","N","N","N",28-OCT-24
"EDWARDMC","Y","Y","N","Y",28-OCT-24
"MTV10","Y","N","N","N",28-OCT-24
"GUNNING","N","Y","N","N",28-OCT-24
"HEBELK","N","N","N","N",28-OCT-24
"SIDNANI","N","N","N","N",28-OCT-24
"LEIWANG1","N","N","N","N",28-OCT-24
"SAVHILD","N","N","N","N",28-OCT-24
"RHASANI","N","N","N","N",28-OCT-24
"MEHDIP","N","N","N","N",28-OCT-24
"JMARION","Y","N","N","N",28-OCT-24
"SANTOROI","N","N","N","N",28-OCT-24
"PODGORSK","N","N","N","N",28-OCT-24
"LUISVC","Y","N","N","N",28-OCT-24
"XIAOYIHU","N","N","N","N",28-OCT-24
"AGARNER","Y","N","N","N",28-OCT-24
"NNAKATA","Y","N","N","N",28-OCT-24
"VOYIATZI","Y","N","N","Y",28-OCT-24
"JRLEVINE","Y","N","N","N",28-OCT-24
"LHAN","N","N","N","N",28-OCT-24
"CGAMMON","Y","N","N","N",28-OCT-24
"CO29064","N","N","N","N",28-OCT-24
"MOLLYJ","Y","N","N","N",28-OCT-24
"MARTINB","Y","N","N","N",28-OCT-24
"NMEULEN","N","N","N","N",28-OCT-24
"MDTRINH","N","N","N","N",28-OCT-24
"NICOLEMH","N","N","N","N",28-OCT-24
"AFRADKIN","N","N","N","N",28-OCT-24
"JEHUTCHI","N","N","N","N",28-OCT-24
"WBMONSON","N","N","N","N",28-OCT-24
"NKIRKSEY","Y","N","N","Y",28-OCT-24
"LHAO","N","N","N","N",28-OCT-24
"REBOVICH","N","N","N","N",28-OCT-24
"RPENNY","N","N","N","N",28-OCT-24
"KRAHERN","N","N","N","N",28-OCT-24
"KTJ","N","N","N","N",28-OCT-24
"MTABARES","Y","Y","N","Y",28-OCT-24
"ORTONY","Y","N","N","N",28-OCT-24
"RMACFARL","Y","N","N","N",28-OCT-24
"RSEAVEY","N","N","N","N",28-OCT-24
"RRHALP","N","N","N","N",28-OCT-24
"SDORLEAN","Y","N","N","N",28-OCT-24
"ANNALYN","N","N","N","N",28-OCT-24
"LMANCUSO","Y","N","N","N",28-OCT-24
"KVERRIER","Y","N","N","N",28-OCT-24
"RMCCALLU","N","N","N","N",28-OCT-24
"LARSENH","N","N","N","N",28-OCT-24
"CVARELA","N","N","N","N",28-OCT-24
"KESSLERJ","Y","N","N","N",28-OCT-24
"RKOPP","N","N","N","N",28-OCT-24
"ASTRIDH","N","N","N","N",28-OCT-24
"WVANREES","Y","N","N","N",28-OCT-24
"GOMEZT","Y","N","N","N",28-OCT-24
"LINZJ","N","N","N","N",28-OCT-24
"WWM","Y","N","N","N",28-OCT-24
"RO27503","N","N","N","N",28-OCT-24
"TY27580","N","N","N","N",28-OCT-24
"ALLISONO","N","N","N","N",28-OCT-24
"RO27275","N","N","N","N",28-OCT-24
"DIEHLN","Y","N","N","N",28-OCT-24
"MENOUNOS","N","N","N","N",28-OCT-24
"KTOSMAN","N","N","N","N",28-OCT-24
"SHAOYU","N","N","N","N",28-OCT-24
"YOONHKIM","Y","N","N","N",28-OCT-24
"BAKERJA","N","N","N","N",28-OCT-24
"GREVILLE","Y","N","N","N",28-OCT-24
"NA27672","N","N","N","N",28-OCT-24
"DKBRIDGE","Y","N","N","N",28-OCT-24
"LEVYE","N","N","N","N",28-OCT-24
"KETLINE","N","N","N","N",28-OCT-24
"DBEVER","N","N","N","N",28-OCT-24
"EBJ","Y","N","N","N",28-OCT-24
"WGAO2","N","N","N","N",28-OCT-24
"SAATHOFF","N","N","N","N",28-OCT-24
"JDPAUL","N","N","N","N",28-OCT-24
"MIKEXIV","N","N","N","N",28-OCT-24
"KI28094","N","N","N","N",28-OCT-24
"MCCARTYK","Y","N","N","N",28-OCT-24
"ST28114","N","N","N","N",28-OCT-24
"LI28131","N","N","N","N",28-OCT-24
"DKIEFFER","N","N","N","N",28-OCT-24
"DA21568","N","N","N","N",28-OCT-24
"AAROND","Y","N","N","N",28-OCT-24
"GONICKM","N","N","N","N",28-OCT-24
"JRZHANG","N","N","N","N",28-OCT-24
"URBONAS","Y","N","N","N",28-OCT-24
"AFORERO","Y","N","Y","N",28-OCT-24
"BADALOV","N","N","N","N",28-OCT-24
"KE21491","N","N","N","N",28-OCT-24
"SC21437","N","N","N","N",28-OCT-24
"MMF","Y","Y","N","N",28-OCT-24
"HARDJONO","N","N","N","N",28-OCT-24
"BMA","Y","N","N","N",28-OCT-24
"AL21615","N","N","N","N",28-OCT-24
"CEPSTEIN","Y","N","N","N",28-OCT-24
"JRUANE","N","N","N","N",28-OCT-24
"JCURRIER","N","N","N","N",28-OCT-24
"DONTAY4","Y","N","N","N",28-OCT-24
"JMARS","Y","N","N","N",28-OCT-24
"FJFLORES","N","N","N","N",28-OCT-24
"GMCGRATH","Y","N","N","Y",28-OCT-24
"ILANASCH","N","N","N","N",28-OCT-24
"LO21509","N","N","N","N",28-OCT-24
"GUERRAC","Y","N","N","N",28-OCT-24
"DA21799","N","N","N","N",28-OCT-24
"MA21680","N","N","N","N",28-OCT-24
"AN21863","N","N","N","N",28-OCT-24
"PDKEAT2","Y","N","N","N",28-OCT-24
"GA28535","N","N","N","N",28-OCT-24
"JO28551","N","N","N","N",28-OCT-24
"MA28552","N","N","N","N",28-OCT-24
"ME28461","N","N","N","N",28-OCT-24
"FBAZ","N","N","N","N",28-OCT-24
"BR28375","N","N","N","N",28-OCT-24
"PA28582","N","N","N","N",28-OCT-24
"BE28548","N","N","N","N",28-OCT-24
"EWEDDING","Y","N","N","N",28-OCT-24
"DONOVANM","Y","Y","Y","N",28-OCT-24
"THKIM3","N","N","N","N",28-OCT-24
"EOSTLING","N","N","N","N",28-OCT-24
"CKATSIMP","Y","N","N","N",28-OCT-24
"FMROSS","Y","N","N","N",28-OCT-24
"WEIDAWU","N","N","N","N",28-OCT-24
"ERICARIE","Y","N","N","N",28-OCT-24
"JBALDINI","Y","N","N","N",28-OCT-24
"JPALACIO","Y","N","N","N",28-OCT-24
"SHOTOYO","N","N","N","N",28-OCT-24
"CMFALLON","Y","Y","Y","Y",28-OCT-24
"TO28804","N","N","N","N",28-OCT-24
"JSASH","N","N","N","N",28-OCT-24
"SHARONIM","N","N","N","N",28-OCT-24
"MURNINM","N","N","N","N",28-OCT-24
"DMGOMEZ","N","N","N","N",28-OCT-24
"GE28995","N","N","N","N",28-OCT-24
"PA29080","N","N","N","N",28-OCT-24
"CR29090","N","N","N","N",28-OCT-24
"CRYSTALL","Y","N","N","N",28-OCT-24
"CIDOUX","N","N","N","N",28-OCT-24
"MOSCONA","Y","N","N","N",28-OCT-24
"DRREDDY","Y","N","N","N",28-OCT-24
"STRAMPEL","Y","N","N","N",28-OCT-24
"MDAURORA","N","N","N","N",28-OCT-24
"MI26675","N","N","N","N",28-OCT-24
"MI26644","N","N","N","N",28-OCT-24
"MA26613","N","N","N","N",28-OCT-24
"BMILARDO","Y","N","N","N",28-OCT-24
"LMANDEL","N","N","N","N",28-OCT-24
"MADRIV","N","N","N","N",28-OCT-24
"AKHAYKIN","N","N","N","N",28-OCT-24
"RSERWATK","N","N","N","N",28-OCT-24
"EDNAIDAP","N","N","N","N",28-OCT-24
"RMOYA","N","N","N","N",28-OCT-24
"NAVIA","N","N","N","N",28-OCT-24
"SSMITH1","Y","N","Y","N",28-OCT-24
"RRAJU","Y","N","N","N",28-OCT-24
"DUANS","Y","Y","Y","Y",28-OCT-24
"CGROCH","N","N","N","N",28-OCT-24
"JALTON","Y","N","N","N",28-OCT-24
"PCASEY","Y","Y","N","Y",28-OCT-24
"NI26749","N","N","N","N",28-OCT-24
"DE22400","N","N","N","N",28-OCT-24
"DA26712","N","N","N","N",28-OCT-24
"RI23397","N","N","N","N",28-OCT-24
"TERRIE","Y","Y","N","Y",28-OCT-24
"MA28134","N","N","N","N",28-OCT-24
"JO26669","N","N","N","N",28-OCT-24
"MAYCO","N","N","N","N",28-OCT-24
"GHSOARES","Y","N","N","N",28-OCT-24
"RENEEFRY","N","N","N","N",28-OCT-24
"JZASADA","N","N","N","N",28-OCT-24
"BEIMFORD","N","N","N","N",28-OCT-24
"RDMEJIA","N","N","N","N",28-OCT-24
"NTRUC87","Y","N","N","N",28-OCT-24
"NISSIM","N","N","N","N",28-OCT-24
"ILYAGLIK","Y","N","N","Y",28-OCT-24
"DA28693","N","N","N","N",28-OCT-24
"STEZEL","N","N","N","N",28-OCT-24
"GOMOND","Y","N","N","N",28-OCT-24
"JARVINEN","Y","N","N","N",28-OCT-24
"BBRYSON","Y","N","N","N",28-OCT-24
"LEWISLAW","N","N","N","N",28-OCT-24
"MOHAMEDR","N","N","N","N",28-OCT-24
"DEEPAK96","N","N","N","N",28-OCT-24
"JAHEINE","N","N","N","N",28-OCT-24
"CO28150","N","N","N","N",28-OCT-24
"MI28455","N","N","N","N",28-OCT-24
"CO28133","N","N","N","N",28-OCT-24
"NABAMITA","N","N","N","N",28-OCT-24
"ANDRESAS","N","N","N","N",28-OCT-24
"FBORREGO","Y","N","N","N",28-OCT-24
"KPENDY","Y","N","N","N",28-OCT-24
"ACHASE","N","N","N","N",28-OCT-24
"JE21824","N","N","N","N",28-OCT-24
"DLUCAS","Y","N","N","N",28-OCT-24
"MA21917","N","N","N","N",28-OCT-24
"PHILLIPI","Y","N","N","N",28-OCT-24
"IQBALD","Y","N","N","N",28-OCT-24
"RO20962","N","N","N","N",28-OCT-24
"DCTANUGI","N","N","N","N",28-OCT-24
"MGAROFAL","N","N","N","N",28-OCT-24
"AMM","Y","N","N","N",28-OCT-24
"ANUSINHA","N","N","N","N",28-OCT-24
"SC21825","N","N","N","N",28-OCT-24
"NLMILLER","N","N","N","N",28-OCT-24
"IANDREWS","Y","N","N","N",28-OCT-24
"KBWOLLER","Y","N","N","N",28-OCT-24
"BDWOOD","N","N","N","N",28-OCT-24
"JU21743","N","N","N","N",28-OCT-24
"LDEMANET","Y","N","N","N",28-OCT-24
"MINGDA","Y","N","N","N",28-OCT-24
"CH21789","N","N","N","N",28-OCT-24
"EOELKER","N","N","N","N",28-OCT-24
"LUDMILA","Y","N","N","Y",28-OCT-24
"GAHU","N","N","N","N",28-OCT-24
"CH21644","N","N","N","N",28-OCT-24
"MZGOLA","N","N","N","N",28-OCT-24
"PRANEETH","N","N","N","N",28-OCT-24
"MIRIZARR","N","N","N","N",28-OCT-24
"EV23380","N","N","N","N",28-OCT-24
"JRALONSO","N","N","N","N",28-OCT-24
"AMASINO","N","N","N","N",28-OCT-24
"PWKEEN","Y","N","N","N",28-OCT-24
"CLARKEN","N","N","N","N",28-OCT-24
"ST28093","N","N","N","N",28-OCT-24
"MIMILLER","N","N","N","N",28-OCT-24
"PSULL","Y","N","Y","N",28-OCT-24
"CARLINDA","N","N","N","N",28-OCT-24
"PALL","N","N","N","N",28-OCT-24
"SH25808","N","N","N","N",28-OCT-24
"SAMEJIA","N","N","N","N",28-OCT-24
"DHIXON","N","N","N","N",28-OCT-24
"AN26489","N","N","N","N",28-OCT-24
"JA26473","N","N","N","N",28-OCT-24
"KE26479","N","N","N","N",28-OCT-24
"UMBERTOF","Y","N","N","N",28-OCT-24
"SSYOU","N","N","N","N",28-OCT-24
"KOBRIEN1","Y","N","N","N",28-OCT-24
"PBRACHE","N","N","N","N",28-OCT-24
"LAUREN1","Y","Y","N","N",28-OCT-24
"MJTURNBU","N","N","N","N",28-OCT-24
"RIECHMAN","Y","N","N","N",28-OCT-24
"ONDRIAS","N","N","N","N",28-OCT-24
"BETSYB","Y","N","N","N",28-OCT-24
"SCIEMPA","Y","Y","N","Y",28-OCT-24
"TKILEY","Y","N","N","N",28-OCT-24
"PMCCULLE","Y","N","N","N",28-OCT-24
"JPCAMARA","N","N","N","N",28-OCT-24
"HHMAK","N","N","N","N",28-OCT-24
"JHESSON","N","N","N","N",28-OCT-24
"KLEVANDO","N","N","N","N",28-OCT-24
"TASMITH","N","N","N","N",28-OCT-24
"SBENZELL","N","N","N","N",28-OCT-24
"JOSEPHG","N","N","N","N",28-OCT-24
"INESD","N","N","N","N",28-OCT-24
"GLORIAG","Y","N","N","N",28-OCT-24
"DSADAT","Y","N","N","N",28-OCT-24
"DFRIEDR","Y","N","N","N",28-OCT-24
"BSCHUETZ","Y","N","N","Y",28-OCT-24
"MATVEYEV","Y","N","N","N",28-OCT-24
"SHUBBARD","Y","N","N","N",28-OCT-24
"KMUTONGI","Y","N","N","N",28-OCT-24
"JU27502","Y","N","N","N",28-OCT-24
"AM27506","N","N","N","N",28-OCT-24
"BR27514","N","N","N","N",28-OCT-24
"KCARLMAN","Y","N","N","N",28-OCT-24
"EBANIGAN","N","N","N","N",28-OCT-24
"IKELLER","N","N","N","N",28-OCT-24
"FBASAGA","Y","N","N","N",28-OCT-24
"MWESH","Y","N","N","Y",28-OCT-24
"NAGIBSON","Y","N","N","Y",28-OCT-24
"GMGILLEN","N","N","N","N",28-OCT-24
"RLAMASON","Y","N","N","N",28-OCT-24
"JMBRAD","N","N","N","N",28-OCT-24
"CH27525","N","N","N","N",28-OCT-24
"BR27540","N","N","N","N",28-OCT-24
"LDEPINA","N","N","N","N",28-OCT-24
"LONGG","N","N","N","N",28-OCT-24
"LUQIAO","Y","N","N","N",28-OCT-24
"EM25954","N","N","N","N",28-OCT-24
"SC25847","N","N","N","N",28-OCT-24
"WDHILLIS","N","N","N","N",28-OCT-24
"TH12800","N","N","N","N",28-OCT-24
"DLBLUM","Y","N","N","N",28-OCT-24
"NA25247","N","N","N","N",28-OCT-24
"HARNETT","Y","N","N","N",28-OCT-24
"CORREIAK","N","N","N","N",28-OCT-24
"DUSHANW","N","N","N","N",28-OCT-24
"JAMALC","N","N","N","N",28-OCT-24
"NICOLEB","N","N","N","N",28-OCT-24
"HLODISH","N","N","N","N",28-OCT-24
"JJS","Y","N","N","N",28-OCT-24
"TAMARAB","Y","N","N","N",28-OCT-24
"KPOST","N","N","N","N",28-OCT-24
"BWERNER","Y","N","N","N",28-OCT-24
"HLTULLER","Y","N","N","N",28-OCT-24
"YCHIANG","Y","N","N","N",28-OCT-24
"DIANAH","Y","N","N","N",28-OCT-24
"DEEPTO","Y","N","N","N",28-OCT-24
"SMCCORD","Y","N","N","N",28-OCT-24
"NELLIS","N","N","N","N",28-OCT-24
"TEGMARK","Y","N","N","N",28-OCT-24
"KENWILL","N","N","N","N",28-OCT-24
"NFREEDMA","N","N","N","N",28-OCT-24
"JJBATTAT","Y","N","N","N",28-OCT-24
"BTELUSMA","N","N","N","N",28-OCT-24
"JBONDLOW","N","N","N","N",28-OCT-24
"JOHANNAM","N","N","N","N",28-OCT-24
"HUANGW","N","N","N","N",28-OCT-24
"MANNINGE","Y","N","N","N",28-OCT-24
"MA26509","N","N","N","N",28-OCT-24
"MAHBOUBE","N","N","N","N",28-OCT-24
"DEVONE41","Y","N","N","N",28-OCT-24
"BOCHENEK","N","N","N","N",28-OCT-24
"RBIDDY","N","N","N","N",28-OCT-24
"IALEE","Y","N","N","N",28-OCT-24
"RAKHLIN","Y","N","N","N",28-OCT-24
"CLIVING","Y","N","N","N",28-OCT-24
"CBOWIE","N","N","N","N",28-OCT-24
"HINKELL","N","N","N","N",28-OCT-24
"PRASH","Y","N","N","N",28-OCT-24
"BROWNR","Y","Y","N","Y",28-OCT-24
"FRISCIC","N","N","N","N",28-OCT-24
"SHANU","N","N","N","N",28-OCT-24
"JCAINE","N","N","N","N",28-OCT-24
"BR26548","N","N","N","N",28-OCT-24
"TMACEY","N","N","N","N",28-OCT-24
"JROC","Y","N","N","N",28-OCT-24
"ELLIOTT7","Y","N","N","N",28-OCT-24
"MARCELAA","N","N","N","N",28-OCT-24
"PCHAN","N","N","N","N",28-OCT-24
"AN27071","N","N","N","N",28-OCT-24
"YIRANHE","N","N","N","N",28-OCT-24
"DA27319","N","N","N","N",28-OCT-24
"FRANSELV","Y","N","N","N",28-OCT-24
"GSHANKAR","N","N","N","N",28-OCT-24
"JLUU","N","N","N","N",28-OCT-24
"ERINGWEN","N","N","N","N",28-OCT-24
"CFDEWEY","Y","N","N","N",28-OCT-24
"DPERAULT","N","N","N","N",28-OCT-24
"MARTHA57","N","N","N","N",28-OCT-24
"BDASTRUP","N","N","N","N",28-OCT-24
"GILSTRAP","Y","N","N","N",28-OCT-24
"MHORVATH","N","N","N","N",28-OCT-24
"YXTIAN","N","N","N","N",28-OCT-24
"AARONMR","N","N","N","N",28-OCT-24
"JALEESAT","N","N","N","N",28-OCT-24
"WAHRENS","N","N","N","N",28-OCT-24
"LVOGELSA","N","N","N","N",28-OCT-24
"NAHU","N","N","N","N",28-OCT-24
"ISAL","N","N","N","N",28-OCT-24
"CHRC","N","N","N","N",28-OCT-24
"PMARSENA","N","N","N","N",28-OCT-24
"AGRIGNAR","N","N","N","N",28-OCT-24
"HLEE2","N","N","N","N",28-OCT-24
"JTHOU","N","N","N","N",28-OCT-24
"CLEMENTL","N","N","N","N",28-OCT-24
"MJCOTLER","N","N","N","N",28-OCT-24
"KHANNING","N","N","N","N",28-OCT-24
"ABULNAGA","N","N","N","N",28-OCT-24
"MA26692","N","N","N","N",28-OCT-24
"JO26708","N","N","N","N",28-OCT-24
"ERMARSH","N","N","N","N",28-OCT-24
"MBENTIN","Y","N","N","N",28-OCT-24
"CSERRET","N","N","N","N",28-OCT-24
"RWINN","N","N","N","N",28-OCT-24
"FIMBRES","Y","N","N","N",28-OCT-24
"MMAZZ","N","N","N","N",28-OCT-24
"XUEYANGS","N","N","N","N",28-OCT-24
"AKROL","Y","N","N","N",28-OCT-24
"WILSONCT","N","N","N","N",28-OCT-24
"JSENG","N","N","N","N",28-OCT-24
"IMURRAY","N","N","N","N",28-OCT-24
"NMCCAGUE","N","N","N","N",28-OCT-24
"LYDIAB","N","N","N","N",28-OCT-24
"TA27779","N","N","N","N",28-OCT-24
"GREENBG","N","N","N","N",28-OCT-24
"BE27724","N","N","N","N",28-OCT-24
"DLDESMAR","Y","N","N","N",28-OCT-24
"JNBRYAN","Y","N","N","N",28-OCT-24
"MEDLER","Y","N","N","N",28-OCT-24
"DFORDE","Y","N","N","N",28-OCT-24
"IKN","Y","N","N","N",28-OCT-24
"LJAYE","N","N","N","N",28-OCT-24
"ASTANLEY","N","N","N","N",28-OCT-24
"MKJORDAN","Y","N","N","N",28-OCT-24
"MONTEITH","Y","N","N","N",28-OCT-24
"GALITSYN","N","N","N","N",28-OCT-24
"WESC","N","N","N","N",28-OCT-24
"KRASKA","Y","N","N","N",28-OCT-24
"GUTTENEE","N","N","N","N",28-OCT-24
"JPARSONS","Y","N","N","N",28-OCT-24
"RANDALLD","N","N","N","N",28-OCT-24
"BROCKNEY","N","N","N","N",28-OCT-24
"HSARKIS","Y","N","N","N",28-OCT-24
"RVOLZ","Y","N","N","N",28-OCT-24
"ACARLSEN","Y","N","N","N",28-OCT-24
"RSCHAMP","N","N","N","N",28-OCT-24
"JSTERRON","N","N","N","N",28-OCT-24
"RKAY","N","N","N","N",28-OCT-24
"BINNOCEN","N","N","N","N",28-OCT-24
"BMOODY","N","N","N","N",28-OCT-24
"RBOPPANA","N","N","N","N",28-OCT-24
"NAUMER","N","N","N","N",28-OCT-24
"OZUGD","N","N","N","N",28-OCT-24
"HELINZH","N","N","N","N",28-OCT-24
"NI27673","N","N","N","N",28-OCT-24
"EGLEBRE","N","N","N","N",28-OCT-24
"CCRABTRE","N","N","N","N",28-OCT-24
"FDWALSH","Y","N","N","N",28-OCT-24
"WCARDONA","N","N","N","N",28-OCT-24
"SOPHIA","N","N","N","N",28-OCT-24
"SAINTVIL","N","N","N","N",28-OCT-24
"JDIOP","Y","N","N","N",28-OCT-24
"ESHERICK","N","N","N","N",28-OCT-24
"JUSTINCL","N","N","N","N",28-OCT-24
"ABRAMSS","N","N","N","N",28-OCT-24
"SWILCOX","Y","N","N","N",28-OCT-24
"AARMIJO","N","N","N","N",28-OCT-24
"MSMONTEI","N","N","N","N",28-OCT-24
"DANBR","N","N","N","N",28-OCT-24
"NEWILSON","N","N","N","N",28-OCT-24
"BCLEMONS","N","N","N","N",28-OCT-24
"LUTJENS","N","N","N","N",28-OCT-24
"SCHOI71","N","N","N","N",28-OCT-24
"PRAFULL","N","N","N","N",28-OCT-24
"NI27398","N","N","N","N",28-OCT-24
"DI27415","N","N","N","N",28-OCT-24
"VVANCLOO","N","N","N","N",28-OCT-24
"JMOHR","N","N","N","N",28-OCT-24
"ADREGNI","N","N","N","N",28-OCT-24
"AORTENDA","Y","N","N","N",28-OCT-24
"BOWTIES","N","N","N","N",28-OCT-24
"PBKAUF","N","N","N","N",28-OCT-24
"MI27919","N","N","N","N",28-OCT-24
"LUMIDI","Y","N","N","N",28-OCT-24
"MEGUMIMA","Y","N","N","N",28-OCT-24
"MINCHEW","Y","N","N","N",28-OCT-24
"NOELLEW","N","N","N","N",28-OCT-24
"SKROSEN","N","N","N","N",28-OCT-24
"LIAMACK","N","N","N","N",28-OCT-24
"WADRIAN","Y","N","N","N",28-OCT-24
"MENGJIAY","Y","N","N","N",28-OCT-24
"KMCGEARY","Y","N","N","N",28-OCT-24
"ERINARAI","N","N","N","N",28-OCT-24
"KNB09","N","N","N","N",28-OCT-24
"ZORANLAT","N","N","N","N",28-OCT-24
"JO26679","N","N","N","N",28-OCT-24
"GA26705","N","N","N","N",28-OCT-24
"KGILLIS","Y","N","N","N",28-OCT-24
"MCLEANC","N","N","N","N",28-OCT-24
"ROUNAQ","N","N","N","N",28-OCT-24
"ZA27556","N","N","N","N",28-OCT-24
"EMMADUNN","N","N","N","N",28-OCT-24
"CMORSON","Y","N","N","N",28-OCT-24
"NCHUYNH","N","N","N","N",28-OCT-24
"CEDRICKB","N","N","N","N",28-OCT-24
"DGGORDON","N","N","N","N",28-OCT-24
"DLKRIST2","N","N","N","N",28-OCT-24
"IEVA","Y","N","N","N",28-OCT-24
"EVANHALL","N","N","N","N",28-OCT-24
"WJACKS","Y","N","N","N",28-OCT-24
"MI27389","N","N","N","N",28-OCT-24
"MATTBERT","N","N","N","N",28-OCT-24
"AN27310","N","N","N","N",28-OCT-24
"MEAGEN","N","N","N","N",28-OCT-24
"SA27557","N","N","N","N",28-OCT-24
"RY27547","N","N","N","N",28-OCT-24
"JA27353","N","N","N","N",28-OCT-24
"DAVIDSCC","Y","N","N","Y",28-OCT-24
"TGRAFFEO","N","N","N","N",28-OCT-24
"JHARROLD","N","N","N","N",28-OCT-24
"KYANGZOM","Y","N","Y","Y",28-OCT-24
"FBERG","N","N","N","N",28-OCT-24
"DIMITRAD","Y","N","N","N",28-OCT-24
"EDURIV","Y","N","N","N",28-OCT-24
