"TIP_SUBJECT_OFFERED_KEY","TIP_MATERIAL_KEY","TIP_MATERIAL_STATUS_KEY","TERM_CODE","SUBJECT_ID","ISBN","RECORD_COUNT","WAREHOUSE_LOAD_DATE"
"","002013SU","EO","2013SU","ESD.250","00",1,28-OCT-24
"","002017SP","RQ","2017SP","CANC.21L.007","00",1,28-OCT-24
"","9780143123934NW13","RQ","","21L.003","9780143123934",1,28-OCT-24
"","9780573799815JOHN","RQ","","21M.715","9780573799815",1,28-OCT-24
"","9780446603775DAWN87","RQ","","21L.504","9780446603775",1,28-OCT-24
"","9788492865406PAPI11","RQ","","21G.739","9788492865406",1,28-OCT-24
"","9788492865406PAPI11","RQ","","21L.639","9788492865406",1,28-OCT-24
"","9780765385253BINTI15","RQ","","21L.015","9780765385253",1,28-OCT-24
"","9781559365321SWEAT17","RQ","","21M.715","9781559365321",1,28-OCT-24
"","9780143105138AENEID06","RQ","","21L.001","9780143105138",1,28-OCT-24
"","9780307950178TAIPEI13","RQ","","STS.441","9780307950178",1,28-OCT-24
"","9780486452388SUMMER06","RQ","","21L.707","9780486452388",1,28-OCT-24
"","9780810130630NETHER15","RQ","","21M.715","9780810130630",1,28-OCT-24
"","9781451669411HAMLET12","RQ","","21M.600","9781451669411",1,28-OCT-24
"","8220032479274EBK IMPRO","EO","","15.321","8220032479274",1,28-OCT-24
"","9780140268867ODYSSEY96","RQ","","21L.001","9780140268867",1,28-OCT-24
"","9780312398989OTHELLO07","RQ","","21L.010","9780312398989",1,28-OCT-24
"","9780486266893CANDIDE91","RC","","15.490","9780486266893",1,28-OCT-24
"","9780553213393INFERNO82","RQ","","21L.001","9780553213393",1,28-OCT-24
"","9780553213393INFERNO82","RQ","","21L.021","9780553213393",1,28-OCT-24
"","9780553447453EVICTED16","RQ","","15.703","9780553447453",1,28-OCT-24
"","9780573695667ARCADIA93","RQ","","21L.486","9780573695667",1,28-OCT-24
"","9780787970932TEAMING12","RC","","15.321","9780787970932",1,28-OCT-24
"","9780802142443KITCHEN93","RQ","","21G.022","9780802142443",1,28-OCT-24
"","9780802142443KITCHEN93","RQ","","21L.048","9780802142443",1,28-OCT-24
"","9780802142443KITCHEN93","RQ","","WGS.141","9780802142443",1,28-OCT-24
"","9780811213998TRILOGY73","RQ","","21L.487","9780811213998",1,28-OCT-24
"","9781136610455EBK IMPRO","EO","","15.321","9781136610455",1,28-OCT-24
"","9781250083258SELLOUT15","RQ","","21L.003","9781250083258",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21L.004","9781555976903",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21L.325","9781555976903",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21L.504","9781555976903",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21W.771","9781555976903",1,28-OCT-24
"","8220100566509EBK IMPRO0","EO","","15.321","8220100566509",1,28-OCT-24
"","8220100566509EBK IMPRO1","EO","","15.321","8220100566509",1,28-OCT-24
"","8220100566509EBK IMPRO1","NL","","15.321","8220100566509",1,28-OCT-24
"","9780141441610LORD JIM07","RQ","","21L.709","9780141441610",1,28-OCT-24
"","9780393338416AUDITION10","RQ","","21G.065","9780393338416",1,28-OCT-24
"","9780573662447EURYDICE08","RQ","","21L.486","9780573662447",1,28-OCT-24
"","9780593314609PUSH2022FA","RC","2022FA","CANC.SPO","9780593314609",1,28-OCT-24
"","9780593314609PUSH2022SP","RC","2022SP","CANC.STORE","9780593314609",1,28-OCT-24
"","9780679721819MAMA DAY88","RQ","","21L.707","9780679721819",1,28-OCT-24
"","9780822235729RED SPEEDO","RQ","","21M.715","9780822235729",1,28-OCT-24
"","9781136610455EBK IMPRO0","EO","","15.321","9781136610455",1,28-OCT-24
"","9781136610455EBK IMPRO1","EO","","15.321","9781136610455",1,28-OCT-24
"","9781136610455EBK IMPRO1","NL","","15.321","9781136610455",1,28-OCT-24
"","9781250062932PRIMATES15","RC","","WGS.S10","9781250062932",1,28-OCT-24
"","9780140436648ADAM BEDE08","RQ","","21L.471","9780140436648",1,28-OCT-24
"","9780143106234CIVIL WAR12","RQ","","21H.336","9780143106234",1,28-OCT-24
"","9780143123705A YEAR UP13","CL","","EMBA.15.703","9780143123705",1,28-OCT-24
"","9780143123705A YEAR UP13","RQ","","15.703","9780143123705",1,28-OCT-24
"","9780143123705A YEAR UP13","RQ","","CANC.EMBA","9780143123705",1,28-OCT-24
"","9780143123705A YEAR UP13","RQ","","EMBA.15.703","9780143123705",1,28-OCT-24
"","9780394758282BIG SLEEP39","RQ","","21L.310","9780394758282",1,28-OCT-24
"","9780425170410LINDBERGH98","RQ","","16.707","9780425170410",1,28-OCT-24
"","9780425170410LINDBERGH98","RQ","","STS.467","9780425170410",1,28-OCT-24
"","9780446676977WILD SEED80","RQ","","21L.512","9780446676977",1,28-OCT-24
"","9780486129129EBK CANDIDE","EO","","15.490","9780486129129",1,28-OCT-24
"","9780486277868AWAKENING93","RQ","","21L.003","9780486277868",1,28-OCT-24
"","9780520276574MALIGNANT13","RQ","","21A.319","9780520276574",1,28-OCT-24
"","9780520276574MALIGNANT13","RQ","","STS.330","9780520276574",1,28-OCT-24
"","9780679723424PALE FIRE62","RQ","","21L.310","9780679723424",1,28-OCT-24
"","9780735212176EXIT WEST17","RQ","","15.269","9780735212176",1,28-OCT-24
"","9780735212206EXIT WEST18","RQ","","21L.355","9780735212206",1,28-OCT-24
"","9780743484954KING LEAR93","RQ","","21L.009","9780743484954",1,28-OCT-24
"","9781400076215JAZZ(REV)04","RQ","","21L.003","9781400076215",1,28-OCT-24
"","9780140434354FELIX HOLT95","RQ","","CANC.21L.705","9780140434354",1,28-OCT-24
"","9780226500447PRINCE2ND 98","RQ","","10.02","9780226500447",1,28-OCT-24
"","9780307455925AMERICANAH13","RQ","","21L.355","9780307455925",1,28-OCT-24
"","9780307740915HOME122021JA","RC","2021JA","CANC.SPO","9780307740915",1,28-OCT-24
"","9780385720793COPENHAGEN98","RQ","","8.225","9780385720793",1,28-OCT-24
"","9780385720793COPENHAGEN98","RQ","","15.269","9780385720793",1,28-OCT-24
"","9780385720793COPENHAGEN98","RQ","","STS.042","9780385720793",1,28-OCT-24
"","9780385721677ORYX+CRAKE03","RQ","","21L.512","9780385721677",1,28-OCT-24
"","9780446603775DAWN872021JA","RC","2021JA","CANC.SPO","9780446603775",1,28-OCT-24
"","9780452263499SULA732011FA","RQ","2011FA","CANC.PROFCHANGE","9780452263499",1,28-OCT-24
"","9780486129129EBK CANDIDE0","EO","","15.490","9780486129129",1,28-OCT-24
"","9780571125296REAL THING84","RQ","","21L.703","9780571125296",1,28-OCT-24
"","9780573627521COPENHAGEN02","RQ","","8.225","9780573627521",1,28-OCT-24
"","9780573627521COPENHAGEN02","RQ","","STS.042","9780573627521",1,28-OCT-24
"","9780801893117BOOK092012SP","RC","2012SP","21W.750","9780801893117",1,28-OCT-24
"","9780811222662EBK TRILOGY0","EO","","21L.487","9780811222662",1,28-OCT-24
"","9780811225502LAST SAMURAI","RQ","","21L.003","9780811225502",1,28-OCT-24
"","9780812967258LOST WORLD03","RQ","","21L.434","9780812967258",1,28-OCT-24
"","9780812973815BLACK SWAN10","RC","","15.490","9780812973815",1,28-OCT-24
"","9780816616923IN ONE ACT88","RQ","","21M.710","9780816616923",1,28-OCT-24
"","9781400033430SULA042019FA","CL","2019FA","CANC.21L.355","9781400033430",1,28-OCT-24
"","9781400033430SULA042021JA","RC","2021JA","CANC.SPO","9781400033430",1,28-OCT-24
"","9781401229696DAYTRIPPER11","RQ","","21L.512","9781401229696",1,28-OCT-24
"","9781422148068EBK X-TEAMS0","EO","","CANC.SPO","9781422148068",1,28-OCT-24
"","9781422148068EBK X-TEAMS0","EO","","CANC.TRADESPOE","9781422148068",1,28-OCT-24
"","9781559364102CH'INGLISH12","RQ","","21M.863","9781559364102",1,28-OCT-24
"","9781559364102CH'INGLISH12","RQ","","21M.865","9781559364102",1,28-OCT-24
"","9781940696201OLIO162021FA","RQ","2021FA","21L.325","9781940696201",1,28-OCT-24
"","8220100478086EBK HORIZONS6","EO","","CANC.HELLO","8220100478086",1,28-OCT-24
"","9780060934347DON QUIXOTE05","RQ","","21L.021","9780060934347",1,28-OCT-24
"","9780061159176KNOWN WORLD03","RQ","","21L.003","9780061159176",1,28-OCT-24
"","9780062046284ILIAD152017SP","RQ","2017SP","CANC.21L.001","9780062046284",1,28-OCT-24
"","9780062065254ROUND HOUSE12","RQ","","21L.709","9780062065254",1,28-OCT-24
"","9780062391209SPEAK152023SP","RC","2023SP","CANC.TRADE","9780062391209",1,28-OCT-24
"","9780133235746BIOLOGY2019FA","RC","2019FA","CANC.SPO","9780133235746",1,28-OCT-24
"","9780141439549MIDDLEMARCH94","RQ","","21L.705","9780141439549",1,28-OCT-24
"","9780141439549MIDDLEMARCH94","RQ","","CANC.21L.705","9780141439549",1,28-OCT-24
"","9780141441115TONO-BUNGAY06","RQ","","21L.485","9780141441115",1,28-OCT-24
"","9780199536863MAJOR WORKS84","RQ","","21L.704","9780199536863",1,28-OCT-24
"","9780199537334MAJOR WORKS86","RQ","","21L.704","9780199537334",1,28-OCT-24
"","9780262061414GAME THEORY91","RC","","14.122","9780262061414",1,28-OCT-24
"","9780307264237MERCY082013FA","RQ","2013FA","CANC.CHANGE","9780307264237",1,28-OCT-24
"","9780316113519SPARK082024SP","RQ","2024SP","CANC.CANC","9780316113519",1,28-OCT-24
"","9780321507433ECOLOGY6TH 09","RQ","","7.30B","9780321507433",1,28-OCT-24
"","9780321507433ECOLOGY6TH 09","RQ","","1.018B","9780321507433",1,28-OCT-24
"","9780321507433ECOLOGY6TH 09","RQ","","12.031B","9780321507433",1,28-OCT-24
"","9780374500016NIGHT062022FA","RQ","2022FA","21W.002","9780374500016",1,28-OCT-24
"","9780375507250CLOUD ATLAS04","RQ","","21L.709","9780375507250",1,28-OCT-24
"","9780375507250CLOUD ATLAS04","RQ","","21L.715","9780375507250",1,28-OCT-24
"","9780375702242IDIOT012021SP","RQ","2021SP","CANC.STORE","9780375702242",1,28-OCT-24
"","9780375702242IDIOT012021SP","RQ","2021SP","CANC.RETURNS","9780375702242",1,28-OCT-24
"","9780375702242IDIOT012021SU","RQ","2021SU","CANC.STORE","9780375702242",1,28-OCT-24
"","9780385352543ON THE MOVE15","RQ","","STS.043","9780385352543",1,28-OCT-24
"","9780385352543ON THE MOVE15","RQ","","STS.443","9780385352543",1,28-OCT-24
"","9780393339109EBK AUDITION0","EO","","21G.065","9780393339109",1,28-OCT-24
"","9780393345438CRAZY BRAVE12","RQ","","21W.742","9780393345438",1,28-OCT-24
"","9780486268712LYRIC POEMS91","RQ","","21L.325","9780486268712",1,28-OCT-24
"","9780486432281UNDECIDABLE04","CL","","CANC.BOUNCES","9780486432281",1,28-OCT-24
"","9780520250628ALIEN OCEAN09","RQ","","21A.303","9780520250628",1,28-OCT-24
"","9780520250628ALIEN OCEAN09","RQ","","21A.319","9780520250628",1,28-OCT-24
"","9780520250628ALIEN OCEAN09","RQ","","STS.060","9780520250628",1,28-OCT-24
"","9780520250628ALIEN OCEAN09","RQ","","STS.330","9780520250628",1,28-OCT-24
"","9780679729525AENEID(REV)83","RQ","","21L.001","9780679729525",1,28-OCT-24
"","9780691152639FAULT LINES10","RQ","","14.781","9780691152639",1,28-OCT-24
"","9780691152639FAULT LINES10","RQ","","15.678","9780691152639",1,28-OCT-24
"","9780691152639FAULT LINES10","RQ","","17.100","9780691152639",1,28-OCT-24
"","9780738201535CLOCK SPEED98","CL","","FELLOWS.15","9780738201535",1,28-OCT-24
"","9780738201535CLOCK SPEED98","CL","","FELLOWS.15.778","9780738201535",1,28-OCT-24
"","9780738201535CLOCK SPEED98","RQ","","15.778","9780738201535",1,28-OCT-24
"","9780804170932ON THE MOVE15","RQ","","STS.043","9780804170932",1,28-OCT-24
"","9780804170932ON THE MOVE15","RQ","","STS.443","9780804170932",1,28-OCT-24
"","9780816612871NOISE852011FA","RQ","2011FA","CMS.710","9780816612871",1,28-OCT-24
"","9780822204152FOOL F/LOVE84","RQ","","21M.604","9780822204152",1,28-OCT-24
"","9780871407184PEARL162017SP","RQ","2017SP","CANC.21L.001","9780871407184",1,28-OCT-24
"","9781250002365HAITI132017SP","RQ","2017SP","21A.114","9781250002365",1,28-OCT-24
"","9781250002365HAITI132017SP","RQ","2017SP","21M.630","9781250002365",1,28-OCT-24
"","9781285965970EBK HORIZONS6","EO","","CANC.HELLO","9781285965970",1,28-OCT-24
"","9781408133477TEMPESTREV 11","RQ","","21L.009","9781408133477",1,28-OCT-24
"","9781408133477TEMPESTREV 11","RQ","","21L.010","9781408133477",1,28-OCT-24
"","9781408133477TEMPESTREV 11","RQ","","21W.042","9781408133477",1,28-OCT-24
"","9781421414935GENERIC1ST 14","RQ","","21A.319","9781421414935",1,28-OCT-24
"","9781421414935GENERIC1ST 14","RQ","","STS.330","9781421414935",1,28-OCT-24
"","9781559364263EBK CHINGLISH","EO","","21M.863","9781559364263",1,28-OCT-24
"","9781559364263EBK CHINGLISH","EO","","21M.865","9781559364263",1,28-OCT-24
"","9781631492549PEARL172017SP","RQ","2017SP","CANC.21L.001","9781631492549",1,28-OCT-24
"","9781904271338HAMLET(REV)06","RQ","","21L.009","9781904271338",1,28-OCT-24
"","9781904271338HAMLET(REV)06","RQ","","21L.010","9781904271338",1,28-OCT-24
"","9781904271338HAMLET(REV)06","RQ","","21W.042","9781904271338",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.27","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.39","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.66","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","2.00","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","5.45","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.015","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.022","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.364","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.482","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.589","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.597","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.699","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.968","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.969","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.982","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.983","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.URG","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","10.03","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","10.53","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","2.017","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","2.02B","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","2.031","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","2.051","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","22.12","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","22.13","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","22.16","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","3.982","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","3.S01","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","5.068","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","5.561","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","5.602","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","5.612","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","7.30B","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.018B","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.070B","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","1.S982","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","10.492","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","14.416","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","14.454","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.024","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.220","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.223","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.317","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.318","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.321","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.325","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.386","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.418","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.459","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.516","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.570","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.809","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.833","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.904","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.S06","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.S07","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.S09","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.S12","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.S51","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","15.S72","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","16.121","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","18.031","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","18.303","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","6.431B","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","10.492B","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","21G.820","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","21M.851","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","CC.182A","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","HST.962","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","MAS.S72","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","MAS.S75","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","SCM.266","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","SCM.S94","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","FELLOWS.15.024","N/A",1,28-OCT-24
"","N/ACourse has no materials","NM","","FELLOWS.15.809","N/A",1,28-OCT-24
"","9780023150203WAR+POLITICS73","RQ","","17.468","9780023150203",1,28-OCT-24
"","9780140714630OTHELLO(REV)70","RQ","","21L.009","9780140714630",1,28-OCT-24
"","9780140714630OTHELLO(REV)70","RQ","","21L.010","9780140714630",1,28-OCT-24
"","9780140714630OTHELLO(REV)70","RQ","","21W.042","9780140714630",1,28-OCT-24
"","9780141441849GOOD SOLDIER08","RQ","","21L.485","9780141441849",1,28-OCT-24
"","9780143105039FRANKENSTEIN07","RQ","","21L.003","9780143105039",1,28-OCT-24
"","9780143105138AENEID062017SP","RQ","2017SP","CANC.21L.001","9780143105138",1,28-OCT-24
"","9780156030359MRS.DALLOWAY05","RQ","","21L.487","9780156030359",1,28-OCT-24
"","9780195103090DOM CASMURRO97","RQ","","21L.019","9780195103090",1,28-OCT-24
"","9780300123654CONVERSATION06","RQ","","STS.441","9780300123654",1,28-OCT-24
"","9780307388100EBK JAZZ2015SP","EO","2015SP","CANC.ISSUEO","9780307388100",1,28-OCT-24
"","9780312429331LOWBOY102022SP","RC","2022SP","CANC.STORE","9780312429331",1,28-OCT-24
"","9780316229296FIFTH SEASON15","RQ","","21L.434","9780316229296",1,28-OCT-24
"","9780374523503OMEROS902017SP","RQ","2017SP","CANC.21L.007","9780374523503",1,28-OCT-24
"","9780375724503GHOSTWRITTEN99","RQ","","21L.435","9780375724503",1,28-OCT-24
"","9780393313598BOND OF IRON94","RQ","","STS.026","9780393313598",1,28-OCT-24
"","9780393313598BOND OF IRON94","RQ","","STS.425","9780393313598",1,28-OCT-24
"","9780452264014FENCES862015FA","RQ","2015FA","CANC.WRONG","9780452264014",1,28-OCT-24
"","9780452265349PIANO LESSON90","RQ","","21L.486","9780452265349",1,28-OCT-24
"","9780486270623DOLL'S HOUSE92","RQ","","21L.487","9780486270623",1,28-OCT-24
"","9780486282114FRANKENSTEIN94","RQ","","15.268","9780486282114",1,28-OCT-24
"","9780486282114FRANKENSTEIN94","RQ","","21L.004","9780486282114",1,28-OCT-24
"","9780486282114FRANKENSTEIN94","RQ","","21L.345","9780486282114",1,28-OCT-24
"","9780486284729TIME MACHINE95","RQ","","21L.434","9780486284729",1,28-OCT-24
"","9780486287737DAISY MILLER95","RQ","","21L.018","9780486287737",1,28-OCT-24
"","9780486287737DAISY MILLER95","RQ","","21L.021","9780486287737",1,28-OCT-24
"","9780486287737DAISY MILLER95","RQ","","21L.345","9780486287737",1,28-OCT-24
"","9780486452388SUMMER062014FA","RQ","2014FA","CANC.21L.707","9780486452388",1,28-OCT-24
"","9780521613323READING OVID07","RQ","","21L.613","9780521613323",1,28-OCT-24
"","9780571117420TRANSLATIONS81","RQ","","21L.486","9780571117420",1,28-OCT-24
"","9780573700620BIG MEALLATEST","RQ","","21M.715","9780573700620",1,28-OCT-24
"","9780573704888MARJORIE PRIME","RQ","","21M.715","9780573704888",1,28-OCT-24
"","9780742555556VOICES CARRY09","RQ","","CANC.SPECIALOR","9780742555556",1,28-OCT-24
"","9780743273565GREAT GATSBY25","RQ","","21L.345","9780743273565",1,28-OCT-24
"","9780743273565GREAT GATSBY25","RQ","","CANC.INVENTORY","9780743273565",1,28-OCT-24
"","9780807083697KINDRED(REV)03","RQ","","21L.006","9780807083697",1,28-OCT-24
"","9780822341086SIGNAL+NOISE08","RQ","","CMS.951","9780822341086",1,28-OCT-24
"","9780935702118LASERS862024FA","RC","2024FA","6.6310","9780935702118",1,28-OCT-24
"","9781451669411HAMLET122018FA","RQ","2018FA","CANC.21M.600","9781451669411",1,28-OCT-24
"","9781559362108TEMPEST(REV)92","RQ","","21L.009","9781559362108",1,28-OCT-24
"","9781884511509PATCHWORK GIRL","RQ","","21L.350","9781884511509",1,28-OCT-24
"","9781935536505DIGEST142021FA","RC","2021FA","21L.325","9781935536505",1,28-OCT-24
"","9783257229530DER VORLESER95","RQ","","21G.412","9783257229530",1,28-OCT-24
"","9783257230475DIE PHYSIKER98","RQ","","21G.412","9783257230475",1,28-OCT-24
