"SPACE_UNIT_KEY","SPACE_UNIT_CODE","SPACE_UNIT","DLC_KEY","WAREHOUSE_LOAD_DATE"
"440102","440102","D-LAB","D_MITMAD",28-OCT-24
"391000","391000","RSCH ADMIN SERVICES","D_RAS",28-OCT-24
"060000","060000","SCH OF ENGINEER","D_DOE",28-OCT-24
"069600","069600","CONCOURSE","D_CONCOURSE",28-OCT-24
"063000","063000","CIVIL & ENV ENG","D_CEE",28-OCT-24
"406800","406800","PROPERTY OFFICE","D_PROPERTY",28-OCT-24
"407030","407030","PROCUREMENT","D_PROCURE",28-OCT-24
"497400","497400","PRESIDENTS HOUSE","D_GRAY",28-OCT-24
"404400","404400","INFO SVCS & TECH","D_IS&T",28-OCT-24
"872500","872500","ENDICOTT HOUSE","D_ENDICOTT",28-OCT-24
"874200","874200","COPY TECH CENTER","D_COPYTECH",28-OCT-24
"441600","441600","STU ACTIVITIES","D_SLMPLS",28-OCT-24
"154000","154000","MATHEMATICS","D_MATHS",28-OCT-24
"154500","154500","BRAIN & COG SCI","D_B&CS",28-OCT-24
"153000","153000","WALLACE ASTRO OB","D_EAPS",28-OCT-24
"152000","152000","CHEMISTRY","D_CHEM",28-OCT-24
"401813","401813","ASSOC PROV ARTS","D_ARTS",28-OCT-24
"401812","401812","LIST VIS ART CTR","D_LVA",28-OCT-24
"401811","401811","MIT MUSEUM","D_MUSEUM",28-OCT-24
"401000","401000","OFF OF PRESIDENT","D_PRESIDENT",28-OCT-24
"401800","401800","PROVOST","D_PROVOST",28-OCT-24
"401860","401860","VP-RSCH","D_VPRESOFF",28-OCT-24
"243000","243000","PLASMA SCI FSN CTR","D_PSFC",28-OCT-24
"264000","264000","NUCL REACTOR LAB","D_NRL",28-OCT-24
"064000","064000","ELEC ENG&COMP SC","D_EECS",28-OCT-24
"402100","402100","DIV OF COMP MED","D_COMPMED",28-OCT-24
"401710","401710","HAYSTACK OBS","D_HAYSTACK",28-OCT-24
"402200","402200","OFF GRAD EDU","D_DEANGRAD",28-OCT-24
"271000","271000","LIBRARIES","D_LIBRARIES",28-OCT-24
"410000","410000","RESOURCE DEVLMNT","D_RESDEV",28-OCT-24
"404000","404000","TECH LICENSE OFF","D_TLO",28-OCT-24
"031000","031000","ARCHITECTURE","D_ARCH",28-OCT-24
"151000","151000","BIOLOGY","D_BIOLOGY",28-OCT-24
"267000","267000","RES LAB OF ELEC","D_RLE",28-OCT-24
"492900","492900","CAMPUS POLICE","D_POLICE",28-OCT-24
"423000","423000","AUDIT DIVISION","D_AUDIT",28-OCT-24
"874100","874100","AUDIO-VISUAL SVC","D_AVS",28-OCT-24
"060300","060300","IND PERFORM CTR","D_NUCENG",28-OCT-24
"068000","068000","NUCLEAR SCI & ENG","D_NUCENG",28-OCT-24
"068700","068700","LAB INFO&DEC SYS","D_LIDS",28-OCT-24
"035000","035000","URBAN ST & PLAN","D_DUSP",28-OCT-24
"030000","030000","SCH OF ARCH & PL","D_DEANARCH",28-OCT-24
"033000","033000","C FOR RL ESTATE","D_CRE",28-OCT-24
"158000","158000","PHYSICS","D_PHYSICS",28-OCT-24
"159000","159000","EXPER STUDY GRP","D_ESG",28-OCT-24
"159600","159600","K I FOR AST&SP R","D_CSR",28-OCT-24
"093200","093200","ANTHROPOLOGY","D_ANTHRO",28-OCT-24
"097000","097000","SCI TECH&SOCIETY","D_STS",28-OCT-24
"095500","095500","POLITICAL SCI","D_POLSCI",28-OCT-24
"093700","093700","MUSIC & THEATER ART","D_MTA",28-OCT-24
"093600","093600","LITERATURE","D_LIT",28-OCT-24
"094000","094000","LING & PHIL","D_L&P",28-OCT-24
"093400","093400","HISTORY","D_HISTORY",28-OCT-24
"093300","093300","GLOBAL STUDIES & LANGUAGES","D_FLL",28-OCT-24
"091000","091000","ECONOMICS","D_ECO",28-OCT-24
"090000","090000","SCH OF HUM & S S","D_DHSS",28-OCT-24
"097500","097500","C FOR INT STUDIE","D_CIS",28-OCT-24
"039000","039000","MEDIA LABORATORY","D_MEDIA",28-OCT-24
"065000","065000","MECHANICAL ENG","D_MECHE",28-OCT-24
"266300","266300","SEA GRANT","D_MECHE",28-OCT-24
"150000","150000","SCH OF SCIENCE","D_DEANSCI",28-OCT-24
"061000","061000","AERO & ASTRO","D_AEROASTRO",28-OCT-24
"861000","861000","CAMPUS RESIDENCE","D_HOUSING",28-OCT-24
"310000","310000","LINCOLN LAB","D_LINCOLN",28-OCT-24
"069200","069200","BIOLOGICAL ENG","D_BIOENG",28-OCT-24
"501000","501000","ATHLETICS","D_ATHLETICS",28-OCT-24
"417000","417000","INST SLDR NANOTECH","D_ISN",28-OCT-24
"440100","440100","EDGERTON CENTER","D_EDGERTON",28-OCT-24
"392000","392000","ENV HLTH & SAFE","D_EHSO",28-OCT-24
"441700","441700","TEACH & LRN LAB","D_TLL",28-OCT-24
"159900","159900","LAB FOR NUCL SCI","D_LNS",28-OCT-24
"801000","801000","FACULTY CLUB","D_DINING",28-OCT-24
"067900","067900","COMP SCI & AI LAB","D_CSAIL",28-OCT-24
"159300","159300","PICOWER INSTITUTE","D_PILM",28-OCT-24
"069500","069500","C FOR TRANSP LOG","D_CTL",28-OCT-24
"871000","871000","ALUMNI/AE ASSOC","D_ALUM",28-OCT-24
"875000","875000","MIT PRESS","D_PRESS",28-OCT-24
"066000","066000","MATS SCI & ENG","D_DMSE",28-OCT-24
"062000","062000","CHEMICAL ENG","D_CHEME",28-OCT-24
"187800","187800","ROTC-NAVAL SC","D_CHANCELLOR",28-OCT-24
"187500","187500","ROTC-MILITARY SC","D_CHANCELLOR",28-OCT-24
"187100","187100","ROTC-AEROSPACE","D_CHANCELLOR",28-OCT-24
"441700","441700","TEACH & LRN LAB","D_CHANCELLOR",28-OCT-24
"159000","159000","EXPER STUDY GRP","D_CHANCELLOR",28-OCT-24
"444000","444000","UND ADV&ACAD PR","D_CHANCELLOR",28-OCT-24
"441000","441000","OFF OF VICE CHANCELLOR","D_CHANCELLOR",28-OCT-24
"440102","440102","D-LAB","D_CHANCELLOR",28-OCT-24
"440100","440100","EDGERTON CENTER","D_CHANCELLOR",28-OCT-24
"402200","402200","OFF GRAD EDU","D_CHANCELLOR",28-OCT-24
"441100","441100","OFF OF MINR EDUC","D_CHANCELLOR",28-OCT-24
"446600","446600","CAREER SERVICES","D_CHANCELLOR",28-OCT-24
"446700","446700","REGISTRAR","D_CHANCELLOR",28-OCT-24
"449000","449000","STU SERVICES CTR","D_CHANCELLOR",28-OCT-24
"446100","446100","ADMISSIONS","D_CHANCELLOR",28-OCT-24
"069600","069600","CONCOURSE","D_CHANCELLOR",28-OCT-24
"060085","060085","TERRASCOPE","D_CHANCELLOR",28-OCT-24
"121000","121000","SCH OF MANAGEMNT","D_SLOAN",28-OCT-24
"495000","495000","MIT HEALTH","D_MEDICAL",28-OCT-24
"409000","409000","HUMAN RESOURCES","D_HR",28-OCT-24
"591040","591040","DP OF FACIL ADM","D_FACILITIES",28-OCT-24
"591030","591030","RESIDENCE DOF","D_FACILITIES",28-OCT-24
"404500","404500","EXEC VICE PRES","D_EXECVP",28-OCT-24
"060600","060600","MICROSYSTEMS LAB","D_MTL",28-OCT-24
"449000","449000","STU SERVICES CTR","D_SFS",28-OCT-24
"446700","446700","REGISTRAR","D_REG",28-OCT-24
"441100","441100","OFF OF MINR EDUC","D_OME",28-OCT-24
"441000","441000","OFF OF VICE CHANCELLOR","D_DUE:HQ",28-OCT-24
"446600","446600","CAREER SERVICES","D_CSPA",28-OCT-24
"446100","446100","ADMISSIONS","D_ADM",28-OCT-24
"320000","320000","ENERGY INITIATIV","D_LFEE",28-OCT-24
"442000","442000","DEAN-STU LIFE","D_DSL:HQ",28-OCT-24
"405500","405500","CAMP ACTIV COMPL","D_CAC",28-OCT-24
"400600","400600","MCGOVERN INSTITUTE","D_MCGOVERN",28-OCT-24
"413000","413000","OFFICE OF CORPORATE RELATIONS","D_ILP",28-OCT-24
"069400","069400","SOCIOTECH SYS RSCH CTR","D_SSRC",28-OCT-24
"170000","170000","LDRS GBL OPS-SYS DSN MGMT","D_LGO",28-OCT-24
"093800","093800","COMPARATIVE MEDIA STUDIES","D_CMS",28-OCT-24
"591000","591000","DP OF FACILITIES","D_DOF_CORE",28-OCT-24
"061901","061901","INST MED E & SCI","D_IMES",28-OCT-24
"068100","068100","INST FOR DATA SYS & SOCIETY","D_IDSS",28-OCT-24
"444000","444000","UND ADV&ACAD PR","D_UAAP",28-OCT-24
"402500","402500","VP &SCTY OF CORP","D_VP_SEC_CORP",28-OCT-24
"490000","490000","PUBLIC REL SVCS","D_VP_SEC_CORP",28-OCT-24
"187100","187100","ROTC-AEROSPACE","D_ROTC",28-OCT-24
"187500","187500","ROTC-MILITARY SC","D_ROTC",28-OCT-24
"187800","187800","ROTC-NAVAL SC","D_ROTC",28-OCT-24
"400000","400000","CHAIRMAN OF CORP","D_CORP_CHAIR",28-OCT-24
"405900","405900","PARKING & TRANSP","D_PARKING",28-OCT-24
"060085","060085","TERRASCOPE","D_TERRASCOPE",28-OCT-24
"038000","038000","ART CULT & TECH","D_ACT",28-OCT-24
"407000","407000","VP-FINANCE","D_CAS",28-OCT-24
"402000","402000","KOCH INS INT C R","D_KI",28-OCT-24
"401930","401930","SCHWARZMAN COLLEGE OF COMPUTING","",28-OCT-24
"402400","402400","ENVIRONMENTAL SYSTEMS INITIATIVE","",28-OCT-24
"401823","401823","INNOVATION INITIATIVE","",28-OCT-24
"417500","417500","MATERIALS RESEARCH LAB","",28-OCT-24
"591024","591024","PROVOST RESERVE","",28-OCT-24
"417200","417200","MIT.NANO","",28-OCT-24
"402410","402410","ABDUL LATEEF JAMEEL WATER AND FOOD SYSTEMS LAB","",28-OCT-24
